section,Costs and Financial Aid,,,,
Herman Ostrow School of Dentistry of USC,"Total, nonresident",,,,
Herman Ostrow School of Dentistry of USC,"Total, regional or international",,,,
Loma Linda University School of Dentistry,"Tuition, resident",,,,
Loma Linda University School of Dentistry,"Tuition, nonresident",,,,
Loma Linda University School of Dentistry,"Tuition, regional or international",,,,
Loma Linda University School of Dentistry,Fees,,,,
Loma Linda University School of Dentistry,"Instruments, books and supplies",,,,
Loma Linda University School of Dentistry,Estimated living expenses,,,,
Loma Linda University School of Dentistry,"Total, resident",,,,
Loma Linda University School of Dentistry,"Total, nonresident",,,,
Loma Linda University School of Dentistry,"Total, regional or international",,,,
Loma Linda University School of Dentistry,Notes: ,,,,
"University of California, Los Angeles, School of Dentistry","Tuition, resident",,,,
"University of California, Los Angeles, School of Dentistry","Tuition, nonresident",,,,
"University of California, Los Angeles, School of Dentistry","Tuition, regional or international",,,,
"University of California, Los Angeles, School of Dentistry",Fees,,,,
"University of California, Los Angeles, School of Dentistry","Instruments, books and supplies",,,,
"University of California, Los Angeles, School of Dentistry",Estimated living expenses,,,,
"University of California, Los Angeles, School of Dentistry","Total, resident",,,,
"University of California, Los Angeles, School of Dentistry","Total, nonresident",,,,
"University of California, Los Angeles, School of Dentistry ","Total, regional or international",,,,
"University of California, Los Angeles, School of Dentistry",Notes: ,,,,
"University of California, San Francisco,  School of Dentistry ","Tuition, resident",,,,
"University of California, San Francisco,  School of Dentistry ","Tuition, nonresident",,,,
"University of California, San Francisco,  School of Dentistry ",Fees,,,,
"University of California, San Francisco,  School of Dentistry ","Instruments, books, and supplies",,,,
"University of California, San Francisco,  School of Dentistry ",Estimated living expenses,,,,
"University of California, San Francisco,  School of Dentistry ","Total, resident",,,,
"University of California, San Francisco,  School of Dentistry ","Total, nonresident",,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Tuition, resident",,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Tuition, nonresident",,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Fees,,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Instruments, books,and supplies",,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ",Estimated living expenses,,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Total, resident",,,,
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","Total, nonresident",,,,
Western University of Health Sciences College of Dental Medicine ,"Tuition, resident",,,,
Western University of Health Sciences College of Dental Medicine ,"Tuition, nonresident",,,,
Western University of Health Sciences College of Dental Medicine ,Fees,,,,
Western University of Health Sciences College of Dental Medicine ,"Instruments, books, and supplies",,,,
Western University of Health Sciences College of Dental Medicine ,Estimated living expenses,,,,
Western University of Health Sciences College of Dental Medicine ,"Total, resident",,,,
Western University of Health Sciences College of Dental Medicine ,"Total, nonresident",,,,
University of Colorado School of Dental Medicine ,"Tuition, resident",,,,
University of Colorado School of Dental Medicine ,"Tuition, nonresident",,,,
University of Colorado School of Dental Medicine ,Fees,,,,
University of Colorado School of Dental Medicine ,"Instruments, books,and supplies",,,,
University of Colorado School of Dental Medicine ,Estimated living expenses,,,,
University of Colorado School of Dental Medicine ,"Total, resident",,,,
University of Colorado School of Dental Medicine ,"Total, nonresident",,,,
University of Connecticut School of Dental Medicine ,"Tuition, resident",,,,
University of Connecticut School of Dental Medicine ,"Tuition, nonresident",,,,
University of Connecticut School of Dental Medicine ,"Tuition, New England resident",,,,
University of Connecticut School of Dental Medicine ,Fees,,,,
University of Connecticut School of Dental Medicine ,"Instruments, books, and supplies",,,,
University of Connecticut School of Dental Medicine ,Estimated living expenses,,,,
University of Connecticut School of Dental Medicine ,"Total, resident",,,,
University of Connecticut School of Dental Medicine ,"Total, nonresident",,,,
University of Connecticut School of Dental Medicine ,"Total, New England resident",,,,
Howard University College of Dentistry ,"Tuition, resident",,,,
Howard University College of Dentistry ,"Tuition, nonresident",,,,
Howard University College of Dentistry ,Fees,,,,
Howard University College of Dentistry ,"Instruments, books, and supplies",,,,
Howard University College of Dentistry ,Estimated living expenses,,,,
Howard University College of Dentistry ,"Total, resident",,,,
Howard University College of Dentistry ,"Total, nonresident",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Tuition, resident",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Tuition, nonresident",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Fees,,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Instruments, books,and supplies",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Estimated living
expenses",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Total, resident",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Total, nonresident",,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,Notes:,,,,
Nova Southeastern University College of Dental Medicine ,"Tuition, resident",,,,
Nova Southeastern University College of Dental Medicine ,"Tuition, nonresident",,,,
Nova Southeastern University College of Dental Medicine ,Fees,,,,
Nova Southeastern University College of Dental Medicine ,"Instruments, books, and supplies",,,,
Nova Southeastern University College of Dental Medicine ,Estimated living expenses,,,,
Nova Southeastern University College of Dental Medicine ,"Total, resident",,,,
Nova Southeastern University College of Dental Medicine ,"Total, nonresident",,,,
University of Florida College of Dentistry,"Tuition, resident",,,,
University of Florida College of Dentistry,"Tuition, nonresident",,,,
University of Florida College of Dentistry,Fees,,,,
University of Florida College of Dentistry,"Instruments, books, and supplies",,,,
University of Florida College of Dentistry,"Estimated living
expenses",,,,
University of Florida College of Dentistry,"Total, resident",,,,
University of Florida College of Dentistry,"Total, nonresident",,,,
Dental College of Georgia at Augusta University,"Tuition, resident",,,,
Dental College of Georgia at Augusta University,"Tuition, nonresident",,,,
Dental College of Georgia at Augusta University,Fees,,,,
Dental College of Georgia at Augusta University,"Instruments, books, and supplies",,,,
Dental College of Georgia at Augusta University,"Estimated living
expenses",,,,
Dental College of Georgia at Augusta University,"Total, resident",,,,
Dental College of Georgia at Augusta University,"Total, nonresident",,,,
Dental College of Georgia at Augusta University,Notes: ,,,,
Midwestern University College of Dental Medicine-Illinois ,"Tuition, resident",,,,
Midwestern University College of Dental Medicine-Illinois ,"Tuition, nonresident",,,,
Midwestern University College of Dental Medicine-Illinois ,Fees,,,,
Midwestern University College of Dental Medicine-Illinois ,"Instruments, books, and supplies",,,,
Midwestern University College of Dental Medicine-Illinois ,Estimated living expenses,,,,
Midwestern University College of Dental Medicine-Illinois ,"Total, resident",,,,
Midwestern University College of Dental Medicine-Illinois ,"Total, nonresident",,,,
Midwestern University College of Dental Medicine-Illinois ,Notes: ,,,,
Southern Illinois University School of Dental Medicine ,"Tuition, resident",,,,
Southern Illinois University School of Dental Medicine ,"Tuition, nonresident",,,,
Southern Illinois University School of Dental Medicine ,Fees,,,,
Southern Illinois University School of Dental Medicine ,"Instruments, books,
and supplies",,,,
Southern Illinois University School of Dental Medicine ,Estimated living expenses,,,,
Southern Illinois University School of Dental Medicine ,"Total, resident",,,,
Southern Illinois University School of Dental Medicine ,"Total, nonresident",,,,
University of Illinois at Chicago College of Dentistry ,"Tuition, resident",,,,
University of Illinois at Chicago College of Dentistry ,"Tuition, nonresident",,,,
University of Illinois at Chicago College of Dentistry ,Fees,,,,
University of Illinois at Chicago College of Dentistry ,"Instruments, books, and supplies",,,,
University of Illinois at Chicago College of Dentistry ,Estimated living expenses,,,,
University of Illinois at Chicago College of Dentistry ,"Total, resident",,,,
University of Illinois at Chicago College of Dentistry ,"Total, nonresident",,,,
University of Illinois at Chicago College of Dentistry ,Notes: ,,,,
Indiana University School of Dentistry ,"Tuition, resident",,,,
Indiana University School of Dentistry ,"Tuition, nonresident",,,,
Indiana University School of Dentistry ,Fees,,,,
Indiana University School of Dentistry ,"Instruments, books, and supplies",,,,
Indiana University School of Dentistry ,Estimated living expenses,,,,
Indiana University School of Dentistry ,"Total, resident",,,,
Indiana University School of Dentistry ,"Total, nonresident",,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Tuition, resident",,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Tuition, nonresident",,,,
The University of Iowa College of Dentistry & Dental Clinics ,Fees,,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Instruments, books, and supplies",,,,
The University of Iowa College of Dentistry & Dental Clinics ,Estimated living expenses,,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Total, resident",,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Total, nonresident",,,,
University of Kentucky College of Dentistry ,"Tuition, resident",,,,
University of Kentucky College of Dentistry ,"Tuition, nonresident",,,,
University of Kentucky College of Dentistry ,Fees,,,,
University of Kentucky College of Dentistry ,"Instruments, books, and supplies",,,,
University of Kentucky College of Dentistry ,Estimated living expenses,,,,
University of Kentucky College of Dentistry ,"Total, resident",,,,
University of Kentucky College of Dentistry ,"Total, nonresident",,,,
University of Louisville School of Dentistry ,"Tuition, resident",,,,
University of Louisville School of Dentistry ,"Tuition, nonresident",,,,
University of Louisville School of Dentistry ,Fees,,,,
University of Louisville School of Dentistry ,"Instruments, books, and supplies",,,,
University of Louisville School of Dentistry ,Estimated living expenses,,,,
University of Louisville School of Dentistry ,"Total, resident",,,,
University of Louisville School of Dentistry ,"Total, nonresident",,,,
Louisiana State University Health New Orleans School of Dentistry ,"Tuition, resident",,,,
Louisiana State University Health New Orleans School of Dentistry ,"Tuition, nonresident",,,,
Louisiana State University Health New Orleans School of Dentistry ,Fees,,,,
Louisiana State University Health New Orleans School of Dentistry ,"Instruments, books, and supplies",,,,
Louisiana State University Health New Orleans School of Dentistry ,Estimated living expenses,,,,
Louisiana State University Health New Orleans School of Dentistry ,"Total, resident",,,,
Louisiana State University Health New Orleans School of Dentistry ,"Total, nonresident",,,,
University of New England College of Dental Medicine ,"Tuition, resident",,,,
University of New England College of Dental Medicine ,"Tuition, nonresident",,,,
University of New England College of Dental Medicine ,Fees,,,,
University of New England College of Dental Medicine ,"Instruments, books, and supplies",,,,
University of New England College of Dental Medicine ,Estimated living expenses,,,,
University of New England College of Dental Medicine ,"Total, resident",,,,
University of New England College of Dental Medicine ,"Total, nonresident",,,,
University of Maryland School of Dentistry,"Tuition, resident",,,,
University of Maryland School of Dentistry,"Tuition, nonresident",,,,
University of Maryland School of Dentistry,Fees,,,,
University of Maryland School of Dentistry,"Instruments, books, and supplies",,,,
University of Maryland School of Dentistry,Estimated living expenses,,,,
University of Maryland School of Dentistry,"Total, resident",,,,
University of Maryland School of Dentistry,"Total, nonresident",,,,
Boston University Henry M. Goldman School of Dental Medicine,"Tuition, resident",,,,
Boston University Henry M. Goldman School of Dental Medicine,"Tuition, nonresident",,,,
Boston University Henry M. Goldman School of Dental Medicine,Fees,,,,
Boston University Henry M. Goldman School of Dental Medicine,"Instruments, books, and supplies",,,,
Boston University Henry M. Goldman School of Dental Medicine,Estimated living expenses,,,,
Boston University Henry M. Goldman School of Dental Medicine,"Total, resident",,,,
Boston University Henry M. Goldman School of Dental Medicine,"Total, nonresident",,,,
Harvard School of Dental Medicine,"Tuition, resident",,,,
Harvard School of Dental Medicine,"Tuition, nonresident",,,,
Harvard School of Dental Medicine,Fees,,,,
Harvard School of Dental Medicine,"Instruments, books, and supplies",,,,
Harvard School of Dental Medicine,Estimated living expenses,,,,
Harvard School of Dental Medicine,"Total, resident",,,,
Harvard School of Dental Medicine,"Total, nonresident",,,,
Tufts University School of Dental Medicine,"Tuition, resident",,,,
Tufts University School of Dental Medicine,"Tuition, nonresident",,,,
Tufts University School of Dental Medicine,Fees,,,,
Tufts University School of Dental Medicine,"Instruments, books, and supplies",,,,
Tufts University School of Dental Medicine,Estimated living expenses,,,,
Tufts University School of Dental Medicine,"Total, resident",,,,
Tufts University School of Dental Medicine,"Total, nonresident",,,,
University of Detroit Mercy School of Dentistry,"Tuition, resident",,,,
University of Detroit Mercy School of Dentistry,"Tuition, nonresident",,,,
University of Detroit Mercy School of Dentistry,Fees,,,,
University of Detroit Mercy School of Dentistry,"Instruments, books, and supplies",,,,
University of Detroit Mercy School of Dentistry,Estimated living expenses,,,,
University of Detroit Mercy School of Dentistry,"Total, resident",,,,
University of Detroit Mercy School of Dentistry,"Total, nonresident",,,,
University of Michigan School of Dentistry,"Tuition, resident",,,,
University of Michigan School of Dentistry,"Tuition, nonresident",,,,
University of Michigan School of Dentistry,Fees,,,,
University of Michigan School of Dentistry,"Instruments, books, and supplies",,,,
University of Michigan School of Dentistry,Estimated living expenses,,,,
University of Michigan School of Dentistry,"Total, resident",,,,
University of Michigan School of Dentistry,"Total, nonresident",,,,
University of Michigan School of Dentistry,Notes: ,,,,
University of Minnesota School of Dentistry,"Tuition, resident",,,,
University of Minnesota School of Dentistry,"Tuition, nonresident",,,,
University of Minnesota School of Dentistry,Fees,,,,
University of Minnesota School of Dentistry,Fees for international students,,,,
University of Minnesota School of Dentistry,"Instruments, books, and supplies",,,,
University of Minnesota School of Dentistry,Estimated living expenses,,,,
University of Minnesota School of Dentistry,"Total, resident",,,,
University of Minnesota School of Dentistry,"Total, nonresident",,,,
University of Minnesota School of Dentistry,"Total, international",,,,
University of Minnesota School of Dentistry,Notes: ,,,,
University of Mississippi Medical Center School of dentistry,"Tuition, resident",,,,
University of Mississippi Medical Center School of dentistry,"Tuition, nonresident",,,,
University of Mississippi Medical Center School of dentistry,Fees,,,,
University of Mississippi Medical Center School of dentistry,"Instruments, books, and supplies",,,,
University of Mississippi Medical Center School of dentistry,Estimated living expenses,,,,
University of Mississippi Medical Center School of dentistry,"Total, resident",,,,
University of Mississippi Medical Center School of dentistry,"Total, nonresident",,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Tuition, resident",,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Tuition, nonresident",,,,
A.T. Still University Missouri School of Dentistry & Oral Health,Fees,,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Instruments, books, and supplies",,,,
A.T. Still University Missouri School of Dentistry & Oral Health,Estimated living expenses,,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Total, resident",,,,
A.T. Still University Missouri School of Dentistry & Oral Health,"Total, nonresident",,,,
"University of Missouri - Kansas City, School of Dentistry","Tuition, resident",,,,
"University of Missouri - Kansas City, School of Dentistry","Tuition, nonresident",,,,
"University of Missouri - Kansas City, School of Dentistry",Fees,,,,
"University of Missouri - Kansas City, School of Dentistry","Instruments, books, and supplies",,,,
"University of Missouri - Kansas City, School of Dentistry",Estimated living expenses,,,,
"University of Missouri - Kansas City, School of Dentistry","Total, resident",,,,
"University of Missouri - Kansas City, School of Dentistry","Total, nonresident",,,,
Creighton University School of Dentistry,"Tuition, resident",,,,
Creighton University School of Dentistry,"Tuition, nonresident",,,,
Creighton University School of Dentistry,Fees,,,,
Creighton University School of Dentistry,"Instruments, books, and supplies",,,,
Creighton University School of Dentistry,Estimated living expenses,,,,
Creighton University School of Dentistry,"Total, resident",,,,
Creighton University School of Dentistry,"Total, nonresident",,,,
University of Nebraska Medical Center College of Dentistry,"Tuition, resident",,,,
University of Nebraska Medical Center College of Dentistry,"Tuition, nonresident",,,,
University of Nebraska Medical Center College of Dentistry,Fees,,,,
University of Nebraska Medical Center College of Dentistry,"Instruments, books, and supplies",,,,
University of Nebraska Medical Center College of Dentistry,Estimated living expenses,,,,
University of Nebraska Medical Center College of Dentistry,"Total, resident",,,,
University of Nebraska Medical Center College of Dentistry,"Total, nonresident",,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Tuition, resident",,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Tuition, nonresident",,,,
"University of Nevada, Las Vegas, School of Dental Medicine",Fees,,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Instruments, books, and supplies",,,,
"University of Nevada, Las Vegas, School of Dental Medicine",Estimated living expenses,,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Total, resident",,,,
"University of Nevada, Las Vegas, School of Dental Medicine","Total, nonresident",,,,
"University of Nevada, Las Vegas, School of Dental Medicine",Notes:,,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Tuition, resident",,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Tuition, nonresident",,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine",Fees,,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Instruments, books, and supplies",,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine",Estimated living expenses,,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Total, resident",,,,
"Rutgers, The State University of New Jersey, School of Dental Medicine","Total, nonresident",,,,
Columbia University College of Dental Medicine,"Tuition, resident",,,,
Columbia University College of Dental Medicine,"Tuition, nonresident",,,,
Columbia University College of Dental Medicine,Fees,,,,
Columbia University College of Dental Medicine,"Instruments, books, and supplies",,,,
Columbia University College of Dental Medicine,Estimated living expenses,,,,
Columbia University College of Dental Medicine,"Total, resident",,,,
Columbia University College of Dental Medicine,"Total, nonresident",,,,
New York University College of Dentistry,"Tuition, resident",,,,
New York University College of Dentistry,"Tuition, nonresident",,,,
New York University College of Dentistry,Fees,,,,
New York University College of Dentistry,"Instruments, books, and supplies",,,,
New York University College of Dentistry,Estimated living expenses,,,,
New York University College of Dentistry,"Total, resident",,,,
New York University College of Dentistry,"Total, nonresident",,,,
Stony Brook University School of Dental Medicine,"Tuition, resident",,,,
Stony Brook University School of Dental Medicine,"Tuition, nonresident",,,,
Stony Brook University School of Dental Medicine,Fees,,,,
Stony Brook University School of Dental Medicine,"Instruments, books, and supplies",,,,
Stony Brook University School of Dental Medicine,Estimated living expenses,,,,
Stony Brook University School of Dental Medicine,"Total, resident",,,,
Stony Brook University School of Dental Medicine,"Total, nonresident",,,,
Touro College of Dental Medicine at New York Medical College,"Tuition, resident",,,,
Touro College of Dental Medicine at New York Medical College,"Tuition, nonresident",,,,
Touro College of Dental Medicine at New York Medical College,Fees,,,,
Touro College of Dental Medicine at New York Medical College,"Instruments, books, and supplies",,,,
Touro College of Dental Medicine at New York Medical College,Estimated living expenses,,,,
Touro College of Dental Medicine at New York Medical College,"Total, resident",,,,
Touro College of Dental Medicine at New York Medical College,"Total, nonresident",,,,
Touro College of Dental Medicine at New York Medical College,Notes: ,,,,
University at Buffalo School of Dental Medicine,"Tuition, resident",,,,
University at Buffalo School of Dental Medicine,"Tuition, nonresident",,,,
University at Buffalo School of Dental Medicine,Fees,,,,
University at Buffalo School of Dental Medicine,"Instruments, books, and supplies",,,,
University at Buffalo School of Dental Medicine,Estimated living expenses,,,,
University at Buffalo School of Dental Medicine,"Total, resident",,,,
University at Buffalo School of Dental Medicine,"Total, nonresident",,,,
East Carolina University School of Dental Medicine,"Tuition, resident",,,,
East Carolina University School of Dental Medicine,"Tuition, nonresident",,,,
East Carolina University School of Dental Medicine,Fees,,,,
East Carolina University School of Dental Medicine,"Instruments, books, and supplies",,,,
East Carolina University School of Dental Medicine,Estimated living expenses,,,,
East Carolina University School of Dental Medicine,"Total, resident",,,,
East Carolina University School of Dental Medicine,"Total, nonresident",,,,
University of North Carolina at Chapel Hill School of Dentistry,"Tuition, resident",,,,
University of North Carolina at Chapel Hill School of Dentistry,"Tuition, nonresident",,,,
University of North Carolina at Chapel Hill School of Dentistry,Fees,,,,
University of North Carolina at Chapel Hill School of Dentistry,"Instruments, books, and supplies",,,,
University of North Carolina at Chapel Hill School of Dentistry,Estimated living expenses,,,,
University of North Carolina at Chapel Hill School of Dentistry,"Total, resident",,,,
University of North Carolina at Chapel Hill School of Dentistry,"Total, nonresident",,,,
Case Western Reserve University School of Dental Medicine,"Tuition, resident",,,,
Case Western Reserve University School of Dental Medicine,"Tuition, nonresident",,,,
Case Western Reserve University School of Dental Medicine,Fees,,,,
Case Western Reserve University School of Dental Medicine,"Instruments, books, and supplies",,,,
Case Western Reserve University School of Dental Medicine,Estimated living expenses,,,,
Case Western Reserve University School of Dental Medicine,"Total, resident",,,,
Case Western Reserve University School of Dental Medicine,"Total, nonresident",,,,
The Ohio State University College of Dentistry,"Tuition, resident",,,,
The Ohio State University College of Dentistry,"Tuition, nonresident",,,,
The Ohio State University College of Dentistry,Fees,,,,
The Ohio State University College of Dentistry,"Instruments, books, and supplies",,,,
The Ohio State University College of Dentistry,Estimated living expenses,,,,
The Ohio State University College of Dentistry,"Total, resident",,,,
The Ohio State University College of Dentistry,"Total, nonresident",,,,
University of Oklahoma College of Dentistry,"Tuition, resident",,,,
University of Oklahoma College of Dentistry,"Tuition, nonresident",,,,
University of Oklahoma College of Dentistry,Fees,,,,
University of Oklahoma College of Dentistry,"Instruments, books, and supplies",,,,
University of Oklahoma College of Dentistry,Estimated living expenses,,,,
University of Oklahoma College of Dentistry,"Total, resident",,,,
University of Oklahoma College of Dentistry,"Total, nonresident",,,,
Oregon Health & Science University School of Dentistry,"Tuition, resident",,,,
Oregon Health & Science University School of Dentistry,"Tuition, nonresident",,,,
Oregon Health & Science University School of Dentistry,Fees,,,,
Oregon Health & Science University School of Dentistry,"Instruments, books, and supplies",,,,
Oregon Health & Science University School of Dentistry,Estimated living expenses,,,,
Oregon Health & Science University School of Dentistry,"Total, resident",,,,
Oregon Health & Science University School of Dentistry,"Total, nonresident",,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Tuition, resident",,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Tuition, nonresident",,,,
"The Maurice H. Kornberg School of Dentistry, Temple University",Fees,,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Instruments, books, and supplies",,,,
"The Maurice H. Kornberg School of Dentistry, Temple University",Estimated living expenses,,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Total, resident",,,,
"The Maurice H. Kornberg School of Dentistry, Temple University","Total, nonresident",,,,
University of Pennsylvania School of Dental Medicine,"Tuition, resident",,,,
University of Pennsylvania School of Dental Medicine,"Tuition, nonresident",,,,
University of Pennsylvania School of Dental Medicine,Fees,,,,
University of Pennsylvania School of Dental Medicine,"Instruments, books, and supplies",,,,
University of Pennsylvania School of Dental Medicine,Estimated living expenses,,,,
University of Pennsylvania School of Dental Medicine,"Total, resident",,,,
University of Pennsylvania School of Dental Medicine,"Total, nonresident",,,,
University of Pittsburgh School of Dental Medicine,"Tuition, resident",,,,
University of Pittsburgh School of Dental Medicine,"Tuition, nonresident",,,,
University of Pittsburgh School of Dental Medicine,Fees,,,,
University of Pittsburgh School of Dental Medicine,"Instruments, books, and supplies",,,,
University of Pittsburgh School of Dental Medicine,Estimated living expenses,,,,
University of Pittsburgh School of Dental Medicine,"Total, resident",,,,
University of Pittsburgh School of Dental Medicine,"Total, nonresident",,,,
University of Puerto Rico School of Dental Medicine,"Tuition, resident",,,,
University of Puerto Rico School of Dental Medicine,"Tuition, nonresident",,,,
University of Puerto Rico School of Dental Medicine,"Tuition, international",,,,
University of Puerto Rico School of Dental Medicine,Fees,,,,
University of Puerto Rico School of Dental Medicine,"Instruments, books, and supplies",,,,
University of Puerto Rico School of Dental Medicine,Estimated living expenses,,,,
University of Puerto Rico School of Dental Medicine,"Total, resident",,,,
University of Puerto Rico School of Dental Medicine,"Total, nonresident",,,,
University of Puerto Rico School of Dental Medicine,"Total, international",,,,
University of Puerto Rico School of Dental Medicine,Notes: ,,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Tuition, resident",,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Tuition, nonresident",,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Fees,,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Instruments, books, and supplies",,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Estimated living expenses,,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Total, resident",,,,
Medical University of South Carolina James B. Edwards College of Dental Medicine,"Total, nonresident",,,,
Meharry Medical College School of Dentistry,"Tuition, resident",,,,
Meharry Medical College School of Dentistry,"Tuition, nonresident",,,,
Meharry Medical College School of Dentistry,Fees,,,,
Meharry Medical College School of Dentistry,"Instruments, books, and supplies",,,,
Meharry Medical College School of Dentistry,Estimated living expenses,,,,
Meharry Medical College School of Dentistry,"Total, resident",,,,
Meharry Medical College School of Dentistry,"Total, nonresident",,,,
University of Tennessee Health Science Center College of Dentistry,"Tuition, resident",,,,
University of Tennessee Health Science Center College of Dentistry,"Tuition, nonresident",,,,
University of Tennessee Health Science Center College of Dentistry,Fees,,,,
University of Tennessee Health Science Center College of Dentistry,"Instruments, books, and supplies",,,,
University of Tennessee Health Science Center College of Dentistry,Estimated living expenses,,,,
University of Tennessee Health Science Center College of Dentistry,"Total, resident",,,,
University of Tennessee Health Science Center College of Dentistry,"Total, nonresident",,,,
Texas A&M University College of Dentistry,"Tuition, resident",,,,
Texas A&M University College of Dentistry,"Tuition, nonresident",,,,
Texas A&M University College of Dentistry,Fees,,,,
Texas A&M University College of Dentistry,"Instruments, books, and supplies",,,,
Texas A&M University College of Dentistry,Estimated living expenses,,,,
Texas A&M University College of Dentistry,"Total, resident",,,,
Texas A&M University College of Dentistry,"Total, nonresident",,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Tuition, resident",,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Tuition, nonresident",,,,
University of Texas Health Science Center at San Antonio School of Dentistry,Fees,,,,
University of Texas Health Science Center at San Antonio School of Dentistry,"Instruments, books, and supplies",,,,
