section,Costs and Financial Aid,,,,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,#5#Notes: The fees include mandatory insurance costs.,,,,
Nova Southeastern University College of Dental Medicine ,"Tuition, resident","$63,597 ","$63,597 ","$63,597 ","$63,597 "
Nova Southeastern University College of Dental Medicine ,"Tuition, nonresident","$64,106 ","$64,106 ","$64,106 ","$64,106 "
Nova Southeastern University College of Dental Medicine ,Fees,"$3,183 ","$3,183 ","$3,183 ","$3,183 "
Nova Southeastern University College of Dental Medicine ,"Instruments, books, and supplies","$19,200 ","$17,900 ","$12,800 ","$11,700 "
Nova Southeastern University College of Dental Medicine ,Estimated living expenses,"$22,548 ","$22,548 ","$22,548 ","$22,548 "
Nova Southeastern University College of Dental Medicine ,"Total, resident","$108,528 ","$107,228 ","$102,128 ","$101,028 "
Nova Southeastern University College of Dental Medicine ,"Total, nonresident","$109,037 ","$107,737 ","$102,637 ","$101,537 "
Nova Southeastern University College of Dental Medicine ,#5#Notes: ,,,,
University of Florida College of Dentistry,"Tuition, resident","$37,564 ","$37,564 ","$37,564 ","$37,564 "
University of Florida College of Dentistry,"Tuition, nonresident","$64,046 ","$64,046 ","$64,046 ","$64,046 "
University of Florida College of Dentistry,Fees,"$4,156 ","$4,156 ","$4,156 ","$4,156 "
University of Florida College of Dentistry,"Instruments, books, and supplies","$10,803 ","$9,878 ","$9,500 ","$6,086 "
University of Florida College of Dentistry,"Estimated living
expenses","$21,070 ","$21,545 ","$21,610 ","$18,595 "
University of Florida College of Dentistry,"Total, resident","$73,593 ","$73,143 ","$72,830 ","$66,401 "
University of Florida College of Dentistry,"Total, nonresident","$100,075 ","$99,625 ","$99,312 ","$92,883 "
University of Florida College of Dentistry,#5#Notes: ,,,,
Dental College of Georgia at Augusta University,"Tuition, resident","$27,900 ","$27,900 ","$27,900 ","$18,600 "
Dental College of Georgia at Augusta University,"Tuition, nonresident","$68,610 ","$68,610 ","$68,610 ","$45,740 "
Dental College of Georgia at Augusta University,Fees,"$5,876 ","$5,876 ","$5,876 ","$4,701 "
Dental College of Georgia at Augusta University,"Instruments, books, and supplies","$10,589 ","$6,820 ","$6,243 ","$4,023 "
Dental College of Georgia at Augusta University,"Estimated living
expenses","$28,000 ","$28,000 ","$28,000 ","$28,000 "
Dental College of Georgia at Augusta University,"Total, resident","$72,365 ","$68,596 ","$68,019 ","$55,324 "
Dental College of Georgia at Augusta University,"Total, nonresident","$113,075 ","$109,306 ","$108,729 ","$82,464 "
Dental College of Georgia at Augusta University,"#5#Notes: Fees include university, campus transportation and health service fees; immunizations; student activities and student services fees; technology, recreation and financial aid processing fees; a campus life fee; and student health and disability insurance fees.",,,,
Midwestern University College of Dental Medicine-Illinois ,"Tuition, resident","$71,191 ","$71,191 ","$71,191 ","$71,191 "
Midwestern University College of Dental Medicine-Illinois ,"Tuition, nonresident","$71,191 ","$71,191 ","$71,191 ","$71,191 "
Midwestern University College of Dental Medicine-Illinois ,Fees,"$15,622 ","$13,137 ","$13,137 ","$13,137 "
Midwestern University College of Dental Medicine-Illinois ,"Instruments, books, and supplies","$2,295 ","$1,947 ",$150 ,$150 
Midwestern University College of Dental Medicine-Illinois ,Estimated living expenses,"$22,302 ","$22,302 ","$30,028 ","$30,028 "
Midwestern University College of Dental Medicine-Illinois ,"Total, resident","$111,410 ","$108,604 ","$114,506 ","$114,506 "
Midwestern University College of Dental Medicine-Illinois ,"Total, nonresident","$111,410 ","$108,604 ","$114,506 ","$114,506 "
Midwestern University College of Dental Medicine-Illinois ,"#5#Notes: Estimated living expenses include rent, utilities, meals, travel and personal expenses for off-campus students.",,,,
Southern Illinois University School of Dental Medicine ,"Tuition, resident","$29,124 ","$35,596 ","$35,596 ","$29,124 "
Southern Illinois University School of Dental Medicine ,"Tuition, nonresident","$66,986 ","$81,872 ","$81,872 ","$66,986 "
Southern Illinois University School of Dental Medicine ,Fees,"$5,479 ","$6,898 ","$6,898 ","$5,479 "
Southern Illinois University School of Dental Medicine ,"Instruments, books,
and supplies","$10,062 ","$5,201 ",$484 ,$263 
Southern Illinois University School of Dental Medicine ,Estimated living expenses,"$15,500 ","$15,500 ","$15,500 ","$15,500 "
Southern Illinois University School of Dental Medicine ,"Total, resident","$60,165 ","$63,195 ","$58,478 ","$50,366 "
Southern Illinois University School of Dental Medicine ,"Total, nonresident","$98,027 ","$109,471 ","$104,754 ","$88,228 "
Southern Illinois University School of Dental Medicine ,#5#Notes:,,,,
University of Illinois at Chicago College of Dentistry ,"Tuition, resident","$32,730 ","$49,095 ","$49,095 ","$49,095 "
University of Illinois at Chicago College of Dentistry ,"Tuition, nonresident","$58,896 ","$88,344 ","$88,344 ","$88,344 "
University of Illinois at Chicago College of Dentistry ,Fees,"$4,246 ","$5,802 ","$5,802 ","$5,802 "
University of Illinois at Chicago College of Dentistry ,"Instruments, books, and supplies","$11,488 ","$17,232 ","$17,232 ","$17,232 "
University of Illinois at Chicago College of Dentistry ,Estimated living expenses,"$25,000 ","$25,000 ","$25,000 ","$25,000 "
University of Illinois at Chicago College of Dentistry ,"Total, resident","$73,464 ","$97,129 ","$97,129 ","$97,129 "
University of Illinois at Chicago College of Dentistry ,"Total, nonresident","$99,630 ","$136,378 ","$136,378 ","$136,378 "
University of Illinois at Chicago College of Dentistry ,"#5#Notes: The first year of dental school is two semesters; each subsequent year is three semesters. Some technology is required, and costs are typically built into book costs.",,,,
Indiana University School of Dentistry ,"Tuition, resident","$34,932 ","$33,915 ","$34,593 ","$34,593 "
Indiana University School of Dentistry ,"Tuition, nonresident","$76,379 ","$73,506 ","$75,421 ","$75,421 "
Indiana University School of Dentistry ,Fees,$330 ,$330 ,$330 ,$330 
Indiana University School of Dentistry ,"Instruments, books, and supplies","$14,094 ","$11,534 ","$4,814 ","$3,176 "
Indiana University School of Dentistry ,Estimated living expenses,"$23,247 ","$26,754 ","$26,754 ","$26,754 "
Indiana University School of Dentistry ,"Total, resident","$72,603 ","$72,533 ","$66,491 ","$64,853 "
Indiana University School of Dentistry ,"Total, nonresident","$114,050 ","$112,124 ","$107,319 ","$105,681 "
Indiana University School of Dentistry ,#5#Notes:,,,,
The University of Iowa College of Dentistry & Dental Clinics ,"Tuition, resident","$42,513 ","$42,513 ","$42,513 ","$42,513 "
The University of Iowa College of Dentistry & Dental Clinics ,"Tuition, nonresident","$66,533 ","$66,533 ","$66,533 ","$66,533 "
The University of Iowa College of Dentistry & Dental Clinics ,Fees,$433 ,$209 ,$209 ,$80 
The University of Iowa College of Dentistry & Dental Clinics ,"Instruments, books, and supplies","$17,448 ","$12,184 ","$8,913 ","$6,360 "
The University of Iowa College of Dentistry & Dental Clinics ,Estimated living expenses,"$18,060 ","$18,480 ","$18,900 ","$17,220 "
The University of Iowa College of Dentistry & Dental Clinics ,"Total, resident","$78,454 ","$73,386 ","$70,535 ","$66,173 "
The University of Iowa College of Dentistry & Dental Clinics ,"Total, nonresident","$102,474 ","$97,406 ","$94,555 ","$90,193 "
The University of Iowa College of Dentistry & Dental Clinics ,#5#Notes: ,,,,
University of Kentucky College of Dentistry ,"Tuition, resident","$30,544 ","$30,544 ","$30,544 ","$30,544 "
University of Kentucky College of Dentistry ,"Tuition, nonresident","$63,900 ","$63,900 ","$63,900 ","$63,900 "
University of Kentucky College of Dentistry ,Fees,"$1,486 ","$1,486 ","$1,486 ","$1,486 "
University of Kentucky College of Dentistry ,"Instruments, books, and supplies","$10,944 ","$9,372 ","$4,918 ","$6,500 "
University of Kentucky College of Dentistry ,Estimated living expenses,"$23,100 ","$23,100 ","$23,100 ","$23,100 "
University of Kentucky College of Dentistry ,"Total, resident","$66,074 ","$64,502 ","$60,048 ","$61,630 "
University of Kentucky College of Dentistry ,"Total, nonresident","$99,430 ","$97,858 ","$93,404 ","$94,986 "
University of Kentucky College of Dentistry ,#5#Notes: ,,,,
University of Louisville School of Dentistry ,"Tuition, resident","$32,412 ","$32,412 ","$32,412 ","$32,412 "
University of Louisville School of Dentistry ,"Tuition, nonresident","$67,564 ","$67,564 ","$67,564 ","$67,564 "
University of Louisville School of Dentistry ,Fees,"$7,301 ","$7,301 ","$7,301 ","$7,301 "
University of Louisville School of Dentistry ,"Instruments, books, and supplies","$1,500 ","$1,266 ","$1,210 ","$3,458 "
University of Louisville School of Dentistry ,Estimated living expenses,"$23,500 ","$23,500 ","$23,500 ","$19,584 "
University of Louisville School of Dentistry ,"Total, resident","$64,713 ","$64,479 ","$64,423 ","$62,755 "
University of Louisville School of Dentistry ,"Total, nonresident","$99,865 ","$99,631 ","$99,575 ","$97,907 "
University of Louisville School of Dentistry ,#5#Notes: ,,,,
Louisiana State University Health New Orleans School of Dentistry ,"Tuition, resident","$28,418 ","$28,418 ","$28,418 ","$28,418 "
Louisiana State University Health New Orleans School of Dentistry ,"Tuition, nonresident","$62,371 ","$62,371 ","$62,371 ","$62,371 "
Louisiana State University Health New Orleans School of Dentistry ,Fees,"$6,666 ","$6,241 ","$6,871 ","$7,830 "
Louisiana State University Health New Orleans School of Dentistry ,"Instruments, books, and supplies","$9,636 ","$8,626 ","$3,913 ","$3,529 "
Louisiana State University Health New Orleans School of Dentistry ,Estimated living expenses,"$21,791 ","$21,791 ","$21,791 ","$21,791 "
Louisiana State University Health New Orleans School of Dentistry ,"Total, resident","$66,511 ","$65,076 ","$60,993 ","$61,568 "
Louisiana State University Health New Orleans School of Dentistry ,"Total, nonresident","$100,464 ","$99,029 ","$94,946 ","$95,521 "
Louisiana State University Health New Orleans School of Dentistry ,#5#Notes: ,,,,
University of New England College of Dental Medicine ,"Tuition, resident","$61,200 ","$61,200 ","$61,200 ","$61,200 "
University of New England College of Dental Medicine ,"Tuition, nonresident","$61,200 ","$61,200 ","$61,200 ","$61,200 "
University of New England College of Dental Medicine ,Fees,"$12,095 ","$12,095 ","$12,095 ","$12,095 "
University of New England College of Dental Medicine ,"Instruments, books, and supplies",Included in fees,,,
University of New England College of Dental Medicine ,Estimated living expenses,"$16,290 ","$21,720 ","$21,720 ","$21,720 "
University of New England College of Dental Medicine ,"Total, resident","$89,585 ","$95,015 ","$95,015 ","$95,015 "
University of New England College of Dental Medicine ,"Total, nonresident","$89,585 ","$95,015 ","$95,015 ","$95,015 "
University of New England College of Dental Medicine ,#5#Notes: ,,,,
University of Maryland School of Dentistry,"Tuition, resident","$35,363 ","$35,363 ","$35,363 ","$35,363 "
University of Maryland School of Dentistry,"Tuition, nonresident","$65,729 ","$65,729 ","$65,729 ","$65,729 "
University of Maryland School of Dentistry,Fees,$953 ,$953 ,$953 ,$953 
University of Maryland School of Dentistry,"Instruments, books, and supplies","$9,958 ","$8,915 ","$6,518 ","$6,445 "
University of Maryland School of Dentistry,Estimated living expenses,"$26,577 ","$26,577 ","$26,577 ","$26,577 "
University of Maryland School of Dentistry,"Total, resident","$72,851 ","$71,808 ","$69,411 ","$69,338 "
University of Maryland School of Dentistry,"Total, nonresident","$103,217 ","$102,174 ","$99,777 ","$99,704 "
University of Maryland School of Dentistry,#5#Notes: ,,,,
Boston University Henry M. Goldman School of Dental Medicine,"Tuition, resident","$72,000 ","$72,000 ","$72,000 ","$72,000 "
Boston University Henry M. Goldman School of Dental Medicine,"Tuition, nonresident","$72,000 ","$72,000 ","$72,000 ","$72,000 "
Boston University Henry M. Goldman School of Dental Medicine,Fees,"$1,772 ","$1,792 ","$2,322 ","$1,852 "
Boston University Henry M. Goldman School of Dental Medicine,"Instruments, books, and supplies","$10,132 ","$10,702 ","$1,910 ","$2,510 "
Boston University Henry M. Goldman School of Dental Medicine,Estimated living expenses,"$26,063 ","$25,839 ","$21,997 ","$27,408 "
Boston University Henry M. Goldman School of Dental Medicine,"Total, resident","$109,967 ","$110,333 ","$98,229 ","$103,770 "
Boston University Henry M. Goldman School of Dental Medicine,"Total, nonresident","$109,967 ","$110,333 ","$98,229 ","$103,770 "
Boston University Henry M. Goldman School of Dental Medicine,#5#Notes: ,,,,
Harvard School of Dental Medicine,"Tuition, resident","$58,050 ","$58,050 ","$58,050 ","$58,050 "
Harvard School of Dental Medicine,"Tuition, nonresident","$58,050 ","$58,050 ","$58,050 ","$58,050 "
Harvard School of Dental Medicine,Fees,"$1,645 ","$15,105 ","$15,105 ","$15,105 "
Harvard School of Dental Medicine,"Instruments, books, and supplies","$3,673 ","$5,169 ","$3,025 ",$297 
Harvard School of Dental Medicine,Estimated living expenses,"$24,116 ","$26,370 ","$26,370 ","$23,460 "
Harvard School of Dental Medicine,"Total, resident","$87,484 ","$104,694 ","$102,550 ","$96,912 "
Harvard School of Dental Medicine,"Total, nonresident","$87,484 ","$104,694 ","$102,550 ","$96,912 "
Harvard School of Dental Medicine,#5#Notes: ,,,,
Tufts University School of Dental Medicine,"Tuition, resident","$70,712 ","$70,712 ","$70,712 ","$70,712 "
Tufts University School of Dental Medicine,"Tuition, nonresident","$70,712 ","$70,712 ","$70,712 ","$70,712 "
Tufts University School of Dental Medicine,Fees,"$14,785 ","$15,206 ","$9,401 ","$9,281 "
Tufts University School of Dental Medicine,"Instruments, books, and supplies","$2,275 ","$2,450 ","$4,350 ",$875 
Tufts University School of Dental Medicine,Estimated living expenses,"$24,200 ","$24,200 ","$26,400 ","$20,900 "
Tufts University School of Dental Medicine,"Total, resident","$111,972 ","$112,568 ","$110,863 ","$101,768 "
Tufts University School of Dental Medicine,"Total, nonresident","$111,972 ","$112,568 ","$110,863 ","$101,768 "
Tufts University School of Dental Medicine,#5#Notes: ,,,,
University of Detroit Mercy School of Dentistry,"Tuition, resident","$68,828 ","$68,828 ","$68,828 ","$68,828 "
University of Detroit Mercy School of Dentistry,"Tuition, nonresident","$68,828 ","$68,828 ","$68,828 ","$68,828 "
University of Detroit Mercy School of Dentistry,Fees,"$12,186 ","$11,470 ","$8,230 ","$8,100 "
University of Detroit Mercy School of Dentistry,"Instruments, books, and supplies","$2,200 ","$2,250 ",$700 ,$210 
University of Detroit Mercy School of Dentistry,Estimated living expenses,"$20,043 ","$20,043 ","$20,043 ","$20,043 "
University of Detroit Mercy School of Dentistry,"Total, resident","$103,257 ","$102,591 ","$97,801 ","$97,181 "
University of Detroit Mercy School of Dentistry,"Total, nonresident","$103,257 ","$102,591 ","$97,801 ","$97,181 "
University of Detroit Mercy School of Dentistry,#5#Notes: ,,,,
University of Michigan School of Dentistry,"Tuition, resident","$31,860 ","$38,041 ","$38,041 ","$38,041 "
University of Michigan School of Dentistry,"Tuition, nonresident","$49,686 ","$59,312 ","$59,312 ","$59,312 "
University of Michigan School of Dentistry,Fees,—,,,
University of Michigan School of Dentistry,"Instruments, books, and supplies","$7,664 ","$6,482 ","$5,405 ","$7,139 "
University of Michigan School of Dentistry,Estimated living expenses,"$27,266 ","$32,552 ","$32,552 ","$32,552 "
University of Michigan School of Dentistry,"Total, resident","$66,790 ","$77,075 ","$75,998 ","$77,732 "
University of Michigan School of Dentistry,"Total, nonresident","$84,616 ","$98,346 ","$97,269 ","$99,003 "
University of Michigan School of Dentistry,"#5#Notes: All fees are included in the “Instruments, books and supplies” category.",,,,
University of Minnesota School of Dentistry,"Tuition, resident","$34,540 ","$43,824 ","$43,824 ","$43,824 "
