section,Preparation,Preparation,Preparation
Meharry Medical College School of Dentistry,No,NA,"The prerequisite, upper-level basic science courses (organic chemistry and biochemistry) and the recommended courses- microbiology, anatomy, physiology and cell biology- should be taken at an accredited four-year college or university. "
University of Tennessee Health Science Center College of Dentistry,No,Not encouraged ,None
Texas A&M University College of Dentistry,Yes,60,None
University of Texas Health Science Center at San Antonio School of Dentistry,No,NA,"AP credit is accepted only if the undergraduate student is awarded credit for a specific course, including department, catalog number and title. Lump sum credit is not accepted. "
University of Texas School of Dentistry at Houston,Yes,60,AP credit : Applicants are strongly encouraged to take prerequisite courses for which they have earned AP/International Baccalaureate (IB) or other credit at the university level.
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",No,NA,Credit must be shown on undergraduate transcript.
University of Utah School of Dentistry,Yes,60,"AP credit:
• It is recommended to take courses beyond introductory classes waived by AP.
• AP accepted for electives if the credits are transferable toward a bachelor's degree.
Community college credit:
• Accepted for prerequisites and electives if the credits are transferable to a four-year institution. "
Virginia Commonwealth University School of Dentistry,Yes,60,AP credit must be accepted by undergraduate institution. 
University of Washington School of Dentistry,Yes,90,None
West Virginia University School of Dentistry,Yes,64,AP credits accepted for English prerequisite. 
Marquette University School of Dentistry,Yes,60,"AP credit:
• Accepted only for English prerequisite.
• Amount accepted subject to change at the discretion of the Admissions Committee. 
Community college credit:
• Prerequisites from four-year college or university preferred. "
University of Alberta School of Dentistry ,No,NA,NR
University of British Columbia Faculty of Dentistry ,No,NA,An AP transcript must be submitted.
University of Manitoba College of Dentistry ,NA,NA,"Upon written submission at time of application, Advances Placement/International Baccalaureate (AP/IB) courses can be used to fulfill core course requirements. However, AP/IB courses shall not be used to fulfill the minimum new credit hour requirement (see III A.2 of Applicant Information Bulletin)"
Dalhousie University Faculty of Dentistry ,Yes,NR,None
University of Toronto Faculty of Dentistry ,NA,NA,None
Western University Schulich School of Medicine & Dentistry ,NA,NA,"AP credits are not assessed as a grade, but if the material covered in the course is equivalent to an approved prerequisite course, the requirement is considered fulfilled. We do not have requirements for electives."
McGill University Faculty of Dentistry ,Yes,60,Required scores of 5 (extremely well-qualified) or 4 (well qualified). 
Université Laval Faculté de Médecine Dentaire ,Yes,1,AP credit is not available in Quebec. 
Université de Montréal Faculté de Médecine Dentaire,No,NA,None
University of Saskatchewan College of Dentistry,Yes,30,None
