section,Costs and Financial Aid,Costs and Financial Aid,
Western University of Health Sciences College of Dental Medicine ,"There is no difference between in-state and out-of-state costs.
• Living expenses include personal expenses, room and board.
• Fees include student body fees, Grad PLUS fees, Direct Loan and Stafford Loan origination fees, digital media fee, and instrument and supply fees.
• The transportation cost is NOT included in the above.",http://prospective.westernu.edu/dentistry/financing-2/,
University of Colorado School of Dental Medicine ,"The CU Anschutz Financial Aid and Scholarships Office is dedicated to helping students achieve their educational goals. We are responsible for administering federal, state and institutional aid, including grants, student loans and work-study. Students must apply for financial aid every year using the Free Application for Federal Student Aid (FAFSA). We recommend students complete the FAFSA as soon as possible because state and institutional aid is awarded on a first-come, first-served basis.",http://www.ucdenver.edu/anschutz/studentresources/FASO/Pages/FASO.aspx,
University of Connecticut School of Dental Medicine ,"The Student Services Center at the University of Connecticut serves approximately 500 active dental, medical and graduate students. Our team includes the Offices of Student Financial Aid Services, Registrar, Student Health Plan, and Student Affairs and Activities. Additionally, we oversee the Student Fitness Center, provide resources to students seeking housing and support the many student run programs and organizations at the university. We are committed to providing you our students with the highest quality of support, information and services needed to make your academic experience a successful one.",http://health.uconn.edu/student-services/financial-aid/,
Howard University College of Dentistry ,"Financial aid at Howard University College of Dentistry (HUCD) is awarded on the basis of determined financial need and the availability of funds. Typically, more than 75% of HUCD students obtain financial assistance through federal, private and institutional resources. The difference between resources and expenses can be met in the form of a scholarship or grant and/or loans. Each student who applies and is eligible for aid will receive a Financial Aid Award package. After assessing personal resources as well as the Financial Aid Award package, the student should formulate a carefully planned budget. Each student should be reminded that the primary purpose of financial aid is to assist in defraying educational costs.",http://hucdfinancialaid.webs.com/introduction,
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"Detailed financial aid information, application instructions, and links to application materials may be found on the Lake Erie College of Osteopathic Medicine School of Dental Medicine website (see below) or under the “School of Dental Medicine Tuition and Fees.” If you have any questions, please call the Office of Financial Aid at 941-756-0690.",https://lecom.edu/admissions/tuitionand-financial-aid/school-of-dental-medicine-tuition-financial-aid,
Nova Southeastern University College of Dental Medicine ,"Students apply for Financial Assistance by completing the Free Application for Federal Student Aid (FAFSA) application, which they can find at https://fafsa.ed.gov/. Students’ awards vary depending on the students’ Expected Family Contribution and Cost of Attendance.",http://dental.nova.edu/doctoral/finaid.html or http://www.nova.edu/dental/,
University of Florida College of Dentistry,"In 2012, the Health Resources and Services Administration (HRSA) Scholarships for Disadvantaged Students program awarded the college $645,000 a year for four years—totaling more than $2.5 million dollars. From 2012 to 2016, the award provided 169 individual scholarships of $15,000 each. In 2016, UF College of Dentistry was awarded $647,979 by the HRSA Scholarships for Disadvantaged Students program for the academic year 2016–17 with recommended support of $647,979 for the following three years—totaling nearly $2.6 million dollars from 2016 to 2020. This funding will provide half-tuition scholarships for eligible students. All HRSA Scholarships for Disadvantaged Students are awarded to students who have faced financial and environmental obstacles to gaining the skills and abilities needed to enroll in and graduate from dental school.",http://admissions.dental.ufl.edu/financial-aid-2/,
Dental College of Georgia at Augusta University,All financial aid is divided over three semesters.,http://www.augusta.edu/finaid/,
Midwestern University College of Dental Medicine-Illinois ,The Office of Student Financial Services is committed to providing the highest level of customer service to support our students in achieving their academic goals. We intend to ensure that each student graduates from Midwestern University with the lowest possible educational debt and guarantee that the distribution of financial aid funds will be fair and equitable. We are committed to providing a comprehensive financial literacy program to support our students and alumni that will serve as a model to other institutions. Our goal is to create an environment that embraces teamwork and collaborative partnerships within the educational community.,https://www.midwestern.edu/programs_and_admission/student_financial_services.html,
Southern Illinois University School of Dental Medicine ,The Southern Illinois University Edwardsville Office of Student Financial Aid is committed to assisting qualified students in obtaining appropriate financial aid resources. Eligible dental students have access to low-interest federal and university loan programs.Scholarship programs also exist for qualified students.,http://www.siue.edu/dental/programs/dmd/financial-aid.shtml,
University of Illinois at Chicago College of Dentistry ,"The UIC Office of Student Financial Aid provides a wide range of financial services to help students meet the cost of attending the university. Financial aid is available for students who need assistance with their education-related expenses. To be considered for various types of aid, students must complete the Free Application for Federal Student Aid (FAFSA). Financial aid for 2015–16 first-year dental students 2015–16 was awarded to 40 recipients (77% of a total first-year class of 52). One hundred percent of the awards were in the form of loans. Awards were made to Illinois residents; the average awarad was $71,127, and the awards ranged from $9,399 to $93,431.",http://financialaid.uic.edu/index.shtml,
Indiana University School of Dentistry ,,https://www.dentistry.iu.edu/index.php/prospective-students/financial-aid/,
The University of Iowa College of Dentistry & Dental Clinics ,"Due to the intensity of their studies, dental students are not encouraged to hold a job during the first two years of their academic program. Eligibility for financial aid is based on need established by completing the Free Application for Federal Student Aid (FAFSA). Students may receive Health Professions Loans, Perkins Loans, and Stafford Loans. The loans are repayable over an extended period of time after they complete their course of study. In addition, loans are available from private sources through the College of Dentistry. Scholarships are available from the U.S. Navy, U.S. Army, U.S. Army National Guard and the National Health Services Corps. Information on dental student scholarships and loans may be obtained from The University of Iowa, Office of Student Financial Aid, 208 Calvin Hall.",https://www.dentistry.uiowa.edu/education-financial-aid,
University of Kentucky College of Dentistry ,"A dental education is an expensive undertaking. While the major responsibility for financing a professional education rests with the student and his or her family, external agencies, such as the federal government, assist students by offering low-cost student loans to supplement family contributions. Financial aid is available to cover only education-related expenses for the student for one academic year. Reapplication is required for each subsequent year. Federal and state laws prohibit the use of financial aid for noneducational expenses.",https://dentistry.uky.edu/financial-aid,
University of Louisville School of Dentistry ,"Approximately 90% of all dental students receive some form of financial aid. Both scholarships and loans are offered, although the majority of financial aid comes in the form of student loans. Most financial aid is federally based and is available only to U.S. citizens or qualified nonresidents. All applicants for federal student aid must annually submit a Free Application for Federal Student Aid (FAFSA). A student’s financial aid award cannot exceed the cost of attendance. Cost of attendance is a standard figure computed for each category of student and includes tuition and fees, dental instrument fee, books and supplies, and personal and living expenses. Federal regulations require that cost of attendance be based on the student only and not include the student’s family.",http://louisville.edu/dentistry/financialaid,
Louisiana State University Health New Orleans School of Dentistry ,"The Student Financial Aid Office administers grants, loans, scholarships and part-time employment. Students interested in receiving financial aid should contact this Office well in advance of their expected enrollment. Each student’s need for aid will be evaluated on information supplied and in accordance with our Financial Aid Policy. Representatives are available for consultation with candidates for admission and with students.
Although the responsibility for financing an education rests with the student and the student’s family, it is recognized that many students require additional assistance.
Awards from aid programs funded by the federal or state government are administered according to laws and regulations governing those programs. Priority is given to students with the greatest documented need whose completed applications are received by April 15.",http://www.lsuhsc.edu/financialaid/,
University of New England College of Dental Medicine ,,http://www.une.edu/sfs/graduate/costs/dental-medicine,
University of Maryland School of Dentistry,Applicants are strongly encouraged to complete the Free Application for Federal Student Aid no later than March 1 EACH YEAR. Students can complete the form using estimated income and asset information to meet the deadline and can make corrections once taxes have been filed.,http://www.dental.umaryland.edu/academicaffairs/academic-Information/,
Boston University Henry M. Goldman School of Dental Medicine,"The Boston University Medical Campus Student Financial Services office provides students with tools and guidance to manage financial aid, as well as education and resources for financial success following graduation. Services include pre-admissions counseling; orientation, debt-management and financial-awareness programs; institutional and federal aid programs administration; credit-based private loan applications certification; documentation for outside scholarship agencies; entrance and exit counseling; living expenses advances for eligible students; re-evaluation of financial aid packages. The office also ensures all aspects of the financial aid process are completed thoroughly and accurately as determined by office, institutional and federal policies.
• Hours: Monday – Friday 8:30 a.m. to 5:00 p.m. • Phone: 617-638-5130 • Email: osfs-sdm@bu.edu
",http://www.bumc.bu.edu/osfs/sdm./,
Harvard School of Dental Medicine,Financial aid is available. All financial aid is based solely on demonstrated financial need. Parents’ financial information is considered as part of the needs-analysis process.,http://hsdm.harvard.edu/financial-aid,
Tufts University School of Dental Medicine,,http://dental.tufts.edu/admissions/financial-aid/,
University of Detroit Mercy School of Dentistry,The Office of Financial Aid at UDM SOD is committed to helping students navigate their  way through the process of funding their dental education.,http://dental.udmercy.edu/admission/financial/,
University of Michigan School of Dentistry,The University of Michigan School of Dentistry is committed to helping dental students with the process of funding their dental education.,http://www.dent.umich.edu/admissions/financial-aid,
University of Minnesota School of Dentistry,"The University of Minnesota School of Dentistry offers a limited number of scholarships.
For more information on financial aid and scholarships email Liz Holm at holmx029@umn.edu.",http://asr.umn.edu/about-asr/office-student-finance,
University of Mississippi Medical Center School of dentistry,,https://www.umc.edu/sod/,
A.T. Still University Missouri School of Dentistry & Oral Health,"Eligibility or unmet financial need is determined by subtracting a student’s expected contribution from the student budget. The student’s expected contribution—which is listed on the Student Aid Report (the output document the student receives after completing the Free Application for Federal Student Aid)—is based on the student’s financial strength.
Students may choose to receive financial assistance up to their unmet financial need. For example, if a student’s budget is $40,000 and the expected contribution is $5,000, the student’s unmet financial need is $35,000. The student may receive financial aid through scholarships, loans, etc., to arrive at this figure. (Note: Students may use the Unsubsidized Federal Stafford Loan or any private loan to replace their expected contribution.)
Every effort will be made to meet the student’s need, but in some instances, the student may have to rely on parents or other outside resources. It is of critical importance to be creditworthy, as the Grad PLUS and private loans require a credit check.",https://www.atsu.edu/financial-aid,
"University of Missouri - Kansas City, School of Dentistry","The UMKC School of Dentistry offers several unique scholarships for students in addition to their more traditional scholarships. These include, among others: The Chancellor’s Minority Non-Resident Award waives the nonresident fee differential for newly enrolled nonresident students who identify themselves on the UMKC admissions application as African-American, Hispanic or Native American. The Dental Academic Scholar Award was establishedto recognize the top students within each dental class. Academic performance, and professional and civic involvement are strongly considered for this award.",http://finaid.umkc.edu/health-professional/school-of-dentistry/,
Creighton University School of Dentistry,"Students interested in applying for federal student loans will need to submit the Free Application for Federal Student Aid (FAFSA) at fafsa.gov. The school code for Creighton University is 002542. For 2017–18, the FAFSA will be available after October 1. Students will be notified of their maximum student loan eligibility and can then accept  the amount they need for the year.",https://dentistry.creighton.edu/future-students/tuition-and-aid,
University of Nebraska Medical Center College of Dentistry,,https://www.unmc.edu/financialaid/apply-aid/cod/index.html,
"University of Nevada, Las Vegas, School of Dental Medicine","Eligible dental students are offered financial assistance up to the full cost of attendance or “COA” regardless of a student’s estimated family contribution, also known as “EFC.” However, outside resources—specifically for tuition and other school expenses—through scholarships or grants may reduce the amount of aid for which a student is eligible.",https://www.unlv.edu/dental/financialaid,
"Rutgers, The State University of New Jersey, School of Dental Medicine",,https://financialaid.rutgers.edu/apply/,
Columbia University College of Dental Medicine,The Columbia CDM financial aid program is designed to help meet the demonstrated need of our students. Need is defined as the difference between anticipated expenses and family financial resources. Every application is individually reviewed by a Financial Aid Officer. The relative amount of each component of the package (grants/scholarships and loans) is determined by the availability of funds and eligibility guidelines within each program.,http://www.cumc.columbia.edu/student/finaid/,
New York University College of Dentistry,"The Office of Student Financial Services is here to help you navigate forms and procedures for all tuition- and loan-related matters. You can contact us at 212-998-9830 Monday through Friday, during our telephone service hours of 9:00 a.m. to 2:00 p.m. and 3:00 p.m. to 5:00 p.m. Eastern Time. You can visit our office during our walk-in hours: Monday through Friday from 10:00 a.m. to 2:00 p.m. and 3:00 p.m. to 4:45 p.m. Eastern Time. Appointments may be available at other hours. Please send a request via email and someone will respond to confirm availability. We are located at 433 First Avenue, Suite 125. You can send an e-mail message to the Office of Financial Aid at: dental.financial.aid@nyu.edu.",http://dental.nyu.edu/academicprograms/dds-program/enroll/financial-aid-info.html,
Stony Brook University School of Dental Medicine,"To be considered for financial aid from the Federal Title IV programs, students must meet basic eligibility requirements. Please review the U.S. Department of Education’s Federal Student Aid website at https://studentaid.ed.gov/sa/students/publications/student_guide/index.html",https://dentistry.stonybrookmedicine.edu/dentalfinancial,
Touro College of Dental Medicine at New York Medical College,"Depending on your level of need, you can apply for a federal Unsubsidized Stafford Loan, a federal Direct PLUS Loan (see studentaid.ed.gov/sa/types/loans/plus) or a combination of private and alternative loans. Before accepting any loan, make sure you have a clear understanding of the interest you’ll pay on it as well as your repayment plan options. For financial aid questions, contact us by email at https://www.touro.edu/enterprise/news--updates/article/touro-nonstop.php or by phone at 844-868-7666 (TOURONONSTOP).",https://dental.touro.edu/admissions--aid/financial-aid/,
University at Buffalo School of Dental Medicine,"The University at Buffalo (UB) offers students an excellent education at a more affordable cost than most other major research universities. In 2011, the state of New York established a predictable tuition plan for the State University of New York (SUNY) system. In support of this tuition agreement, UB has developed a strategic plan directing revenues to initiatives that will positively impact the student experience by emphasizing academic quality, student success and affordability.
The School of Dental Medicine offers approximately 20 different scholarships to students in the second, third and fourth years of the D.D.S. program. These scholarships are generally awarded on the basis of need, academic achievement and/or service.",http://financialaid.buffalo.edu/costs/dental/,
East Carolina University School of Dental Medicine,"The ECU School of Dental Medicine places a strong emphasis on financial literacy and strives to ensure students not only graduate with as little debt as possible but also fully understand the implications of borrowing, including repayment strategies and interest accumulation and capitalization. All students wishing to participate in federal financial aid must complete a Free Application for Federal Student Aid (fafsa.ed.gov) before February 14 of the year of matriculation using the ECU School Code 002923. Students are encouraged to learn more about programs such as the North Carolina Forgivable Education Loan for Service, National Health Service Corps, Indian Health Service and all military options. Personal financial aid counseling and personal budgeting assistance is available to all students.",http://www.ecu.edu/cs-acad/financial/meddental.cfm,
University of North Carolina at Chapel Hill School of Dentistry,"• Total number of first-year (2015–16) recipients: 80
• Percentage of the first-year class: 95%
• Percentage of awards that are grants: 16%
• Percentage of awards that are loans: 77%
• Average award for in-state residents: $68,164
• Average award for out-of-state resdients: $90,258
• Range of awards for in-state residents: $1,000–$68,164
• Range of awards for out-of-state residents: $1,000–$90,258",https://www.dentistry.unc.edu/academicprograms/dds/tuition/,
Case Western Reserve University School of Dental Medicine,Approximately 95% of the School of Dental Medicine’s students receive financial aid from a variety of sources. The Office of Financial Aid assists students in completing the application process. This office also submits approved applicants to participating lending institutions.,https://dental.case.edu/admissions/dmd/finaid/,
The Ohio State University College of Dentistry,"A significant portion of students change their residential status from nonresident to resident after their first year of matriculation, which,in turn, significantly reduces their tuition cost for their D2, D3 and D4 years by removing the nonresident tuition surcharge. The Ohio State University College of Dentistry is committed to providing students with scholarship opportunities. Annually the College of Dentistry awards substantial scholarships to both incoming and continuing students. Scholarship awards range from $350 to full in-state tuition. Each year the college awards scholarships totaling nearly $1 million.",https://dentistry.osu.edu/prospective-students/doctor-dental-surgery/financial-aid,
University of Oklahoma College of Dentistry,"The Office of Financial Aid provides comprehensive information and services regarding opportunities to finance the cost of education at the University of Oklahoma Health Sciences Center. Financial Aid Counselors are available, Monday through Friday, from 8:00 a.m. to 5:00 p.m. (Central Time). Available financial assistance includes scholarships, grants, loans, student employment and veteran’s services.",http://ouhsc.edu/financialservices/SFA/,
Oregon Health & Science University School of Dentistry,"Financial aid awards to 2014–26 first-year students were made to 67 individuals representing 88% of the first-year class. No grants or loans were awarded. Average awards to in-state residents were $68,680. Average awards to out-of-state residents were $87,796. Awards for in-state residents ranged from $3,000 to $79,678. Awards for out-of-state residents ranged from $25,400 to $107,187.",http://www.ohsu.edu/xd/education/schools/school-of-dentistry/prospective-students/dmd-program/financial-aid.cfm,
"The Maurice H. Kornberg School of Dentistry, Temple University","Students who wish to be considered for any type of federal financial aid must complete the Free Application for Federal Student Aid (FAFSA) by March 1 of the award year for priority consideration. There are a limited number of scholarships and loans for students from disadvantaged backgrounds and students with extremely high need. In order to be considered for such scholarships and loans, students must provide complete parental information on the FAFSA form and provide complete copies of their and their parents’ IRS tax return(s)—including W-2s—for the appropriate filing year. More information on the types of financial aid available can be found at https://sfs.temple.edu/.  The average 2016 graduate indebtedness was $249,530.",https://dentistry.temple.edu/admissions/cost-financial-aid,
University of Pennsylvania School of Dental Medicine,"Penn Dental Medicine makes every effort to assist qualified students in pursuing their dental education. The university helps students locate financial aid and resources according to their need and eligibility. To be considered for need-based financial aid, applicants must be U.S. citizens or permanent residents. Aid is awarded based on level of need after reviewing a student’s entire financial situation, including parental information. The school awards a limited number of merit scholarships to highly competitive incoming students in the applicant pool. Scholarships range from $10,000 to a maximum of $30,000. All students accepted into Penn Dental Medicine are considered for these scholarships and there is no separate application.",http://www.dental.upenn.edu/academic_programs_admissions/financial_aid_and_scholarships,
University of Pittsburgh School of Dental Medicine,"For financial aid consideration, students must complete both the Free Application for Federal Student Aid (school code E00750) and the Pitt Dental Medicine Financial Aid Application yearly. The School of Dental Medicine administers the following types of financial aid:
Health professions loans
• Federal student loans
• Private loans
• School of Dental Medicine scholarships
• Endowed scholarships",http://dental.pitt.edu/students/dmd/financing-your-dental-education,
University of Puerto Rico School of Dental Medicine,Contact: lvelez@rcm.upr.edu,http://de.rcm.upr.edu/AsistenciaEconomica/AsistenciaEconomica.aspx,
Medical University of South Carolina James B. Edwards College of Dental Medicine,Internal scholarships are not available to first-year dental students.,http://academicdepartments.musc.edu/esl/em/fin_aid,
Meharry Medical College School of Dentistry,"In keeping in step with the mission (www.mmc.edu/about/missionvision.html) of Meharry Medical College, the Office of Student Financial Aid provides pertinent information on graduate and professional school funding to help students attain their professional goals. We advise prospective students, current students and alumni on all aspects of student aid, including:
• Application process.
• Available funding.
• Consumer credit.
• Debt management.
• Political issues affecting students and their financial futures.",http://www.mmc.edu/prospectivestudents/financial-aid/index.html,
University of Tennessee Health Science Center College of Dentistry,,http://uthsc.edu/financial-aid/,
Texas A&M University College of Dentistry,,http://financialaid.tamu.edu/Professional/Cost-of-Attendance#0-DentalStudents.,
University of Texas Health Science Center at San Antonio School of Dentistry,"More than 90% of all students attending the School of Dentistry receive financial aid. The Office of Financial Aid is an additional form of student support and advocacy, providing financial aid packages meeting federal and state requirements for financial aid awards to qualified students.",https://students.uthscsa.edu/financialaid/,
University of Texas School of Dentistry at Houston,,https://www.uth.edu/sfs/,
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Roseman University of Health Sciences College of Dental Medicine– South Jordan, Utah (Roseman CODM) students are eligible to participate in federal financial aid programs, including the Direct Loan Program and the Federal Work-Study (FWS) program. Students enrolled in the D.M.D. program are eligible for increased loan limits on the Direct Unsubsidized Loan for the majority of the program based on our 12-month academic year. Roseman CODM offers a robust FWS program with jobs available on campus and off campus with flexible time commitments, based on the student’s availability. We have financial aid personnel available for individual counseling appointments if needed. General inquiries can be e-mailed to financialaid@roseman.edu.",http://www.roseman.edu/students/financial-aid/,
University of Utah School of Dentistry,"The University of Utah has a campus-wide financial aid and scholarship office with a designated School of Dentistry counselor. The office is located in the Student Services Building, Room 105. Staff members are available to assist dental students from 8:00 a.m. to 5:00 p.m. Monday, Wednesday, Thursday and Friday and 12:00 p.m. to 5:00 p.m. Tuesday. Students may contact the office at 801-581-6211. All applicants are encouraged to complete the Free Application for Federal Student Aid (FAFSA®) prior to March 1.",https://financialaid.utah.edu/,
Virginia Commonwealth University School of Dentistry,"The Financial Aid Office at Virginia Commonwealth University supports enrollment and retention by identifying resources and educating parents and students so that they may make sound financial decisions. Federal student loans, private student loans and self-pay options are available to our students.",http://finaid.vcu.edu/,
University of Washington School of Dentistry,"Costs are subject to change without notice and may differ from the amounts posted. Contact the University of Washington School of Dentistry for current information.
Financial aid for students attending the University of Washington School of Dentistry is provided through loans, scholarships and grants for Washington residents with demonstrated need. All students who anticipate a need for financial aid should complete the Free Application for Federal Student Aid (FAFSA®) by the University of Washington’s Priority Filing Date each year.",https://dental.washington.edu/students/dds-programs/admissions/financial-aid/,
West Virginia University School of Dentistry,"The Health Sciences Center (HSC) Financial Aid Office serves students in all health-related disciplines, including undergraduate,graduate and professional students. Several financial aid programs are targeted to students majoring in the health sciences. We have federal, state and institutional financial aid programs that are available to all HSC disciplines, including dental students. Financing a dental education is challenging, but not impossible. The HSC Financial Aid Office provides assistance to students who need help paying for expenses associated with their education.",http://financialaid.wvu.edu/home/hsc-office,
Marquette University School of Dentistry,"Each year, dental students receive more than $11 million in financial assistance. More than $600,000 is gift aid offered through generous donations from Marquette University School of Dentistry alumni and friends. The remainder is in the form of loan assistance offered through government and private resources. Annually, 20–25% of the entering class will receive merit-based scholarships. Recipients are selected by the School of Dentistry Scholarship Committee based on the quality of their collegiate academic performance. The Office of Student Financial Aid administers all need-based financial assistance. The key to receiving sufficient need-based financial aid is to complete the Free Application for Federal Student Aid (FAFSA®) online as soon as possible after January 1 and to complete a federal income tax statement no later than February 15.",http://www.marquette.edu/mucentral/financialaid/,
University of Alberta School of Dentistry ,"• The Office of the Registrar’s financial support services include information, advising and assistance.
• Canadian student loans help post-secondary students pay for their education and are  available for Canadian citizens, permanent residents, landed immigrants or convention refugees.
• The University of Alberta is proud to administer over $22 million in scholarships and awards to accomplished and deserving students.",http://studyincanada.ualberta.ca/TuitionAndScholarships/TuitionAndCostofLiving.aspx,
University of British Columbia Faculty of Dentistry ,"Students in the D.M.D. program may be eligible for funding. Sources of funding include government student loans, bursaries, affiliation scholarships, awards for First Nations students, awards for students with disabilities, professional student lines of credit and emergency funding. Student Services are available to meet with students who are experiencing budgeting or financial difficulties to review the student’s current financial situation and explore funding options.",,
University of Manitoba College of Dentistry ,Students may apply through their province of residence for Canada Student Loans and Provincial Student Loans if they are eligible.,http://umanitoba.ca/student/fin_awards/,
Dalhousie University Faculty of Dentistry ,"All Canadians pay the same tuition and all international students pay the same international tuition. Tuition and mandatory fees include all necessary equipment and supplies, including a laptop computer and electronic textbooks. Students are responsible for finding and funding all living expenses. A bursary program is available for all students by application, and bursaries are awarded on a financial-need basis. Entering and continuing students are automatically considered for entrance and in-course scholarships and awards.",https://www.dal.ca/admissions/money_matters.html,
University of Toronto Faculty of Dentistry ,"Funding opportunities are available through the Ontario Student Assistance Program (OSAP) or by another Canadian provincial government financial aid program and the University of Toronto where appropriate. In addition, financial institutions can make a professional line of credit available to qualified students under the Professional Student Loan program. For further information, please contact the Student Services Office of the Faculty of Dentistry or visit the university’s Student Financial Support website. International students are not eligible for University of Toronto or government assistance.",,
Western University Schulich School of Medicine & Dentistry ,"Estimated living expenses are from the Western University Financial Resource Workbook: http://registrar.uwo.ca/student_finances/index.html
",http://www.registrar.uwo.ca/404.html,
McGill University Faculty of Dentistry ,,https://www.mcgill.ca/dentistry/4-year-dmd-program/financial-aid,
Université Laval Faculté de Médecine Dentaire ,"For information on loans and bursaries from the Quebec provincial government, visit http://www.afe.gouv.qc.ca/",https://www.bbaf.ulaval.ca/,
Université de Montréal Faculté de Médecine Dentaire,,www.medent.umontreal.ca/,
University of Saskatchewan College of Dentistry,,https://students.usask.ca/new-students.php#Sendyourfinaltranscripts,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
