section,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts,Fast Facts
New York University College of Dental Medicine,Private,1865,Semester,48,August,D.D.S.,"1,479",375,Urban,No
Stony Brook University School of Dental Medicine,Public,1973,Trimester,44,August,D.D.S.,176,44,Suburban,Yes
Touro College of Dental Medicine at New York Medical College,Public,2016,Trimester,46,July,D.D.S.,440,110,Suburban,No
University at Buffalo School of Dental Medicine,Public,1892,Semester,43,August,D.D.S.,408,90,Urban,Yes
East Carolina University School of Dental Medicine,Public,2011,Trimester,44,August,D.M.D.,200,52,Urban,No
University of North Carolina at Chapel Hill School of Dentistry,Public,1950,Semester,46,August,D.D.S.,325,82,Suburban,Yes
Case Western Reserve University School of Dental Medicine,Private,1892,Semester,48,August,D.M.D.,282,75,Urban,No
The Ohio State University College of Dentistry,Public,1890,Semester,45,August,D.D.S.,440,110,Urban,Yes
University of Oklahoma College of Dentistry,Public,1972,Semester,48,June,D.D.S.,232,56,Urban,Yes
Oregon Health & Science University School of Dentistry,Public,1898,Quarter,47,August,D.M.D.,300,75,Urban, No
"The Maurice H. Kornberg School of Dentistry, Temple University",Private and state-related,1863,Semester,48,August,D.M.D.,560,140,Urban,No
University of Pennsylvania School of Dental Medicine,Private,1878,Semester,45,August,D.M.D.,541,125,Urban,Yes
University of Pittsburgh School of Dental Medicine,State-related,1896,Quarter,45,August,D.M.D.,320,80,Urban,Limited
University of Puerto Rico School of Dental Medicine,Public,1957,Semester,41,August,D.M.D.,194,40,Urban,No
Medical University of South Carolina James B. Edwards College of Dental Medicine,Public,1967,Semester,48,June,D.M.D.,300,75,Urban,No
Meharry Medical College School of Dentistry,Private,1886,Semester,48,June,D.D.S.,218,60,Urban,Yes
University of Tennessee Health Science Center College of Dentistry,Public,1878,Semester,46,July,D.D.S.,366,98,Urban,No
Texas A&M University College of Dentistry,Public,1905,Semester,48,August,D.D.S.,402,100,Urban,No
University of Texas Health Science Center at San Antonio School of Dentistry,Public,1970,Semester,48,July,D.D.S.,420,100,Suburban,No
University of Texas School of Dentistry at Houston,Public,1905,Semester,46,August,D.D.S.,412,103,Urban,Yes
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Private, nonprofit",2011,Academic Year,45,August,D.M.D.,328,82,Suburban,No
University of Utah School of Dentistry,Public,2013,Semester,46,August,D.D.S.,200,50,Urban ,Yes
Virginia Commonwealth University School of Dentistry,Public,1893,Semester,44,August,D.D.S.,400,95-105,Urban,Yes
University of Washington School of Dentistry,Public,1945,Quarter,47,July,D.D.S.,252,63,Urban,Yes
West Virginia University School of Dentistry,Public,1957,Semester,45,August,D.D.S.,192,48,Rural,Yes
Marquette University School of Dentistry,Private and state-related,1894,Semester,45,August,D.D.S.,400,100,Urban,No
University of Alberta School of Dentistry ,Public,1917,Semester,48,August,D.D.S.,138,32,Urban ,Yes
University of British Columbia Faculty of Dentistry ,Public,1964,Semester,40,August,D.M.D.,56,NR,Urban,Yes
University of Manitoba College of Dentistry ,Public,1958,Semester,48,August,D.M.D.,128,29,Urban,No
Dalhousie University Faculty of Dentistry ,Public,1908,Semester,36,August/September,D.D.S.,174,38,Urban,Yes
University of Toronto Faculty of Dentistry ,Public,1875,Semester,48,September,D.D.S.,432,93,Urban,Yes
Western University Schulich School of Medicine & Dentistry ,Public,1965,Semester,48,September,D.D.S.,265,56,Urban,Yes
McGill University Faculty of Dentistry ,Public,1821,Semester,48,August,D.M.D.,158,38,Urban,Yes
Université Laval Faculté de Médecine Dentaire ,State-related,1971,Trimester,48,September,D.M.D.,192,50,Urban,Yes
Université de Montréal Faculté de Médecine Dentaire,Public,1904,Trimester (yearly promotion),58,August,D.M.D.,NR,89,Urban,Yes
University of Saskatchewan College of Dentistry,Public,1965,Semester,35,August,D.M.D.,112,28,Urban,Yes
