section,Curriculum,Curriculum
Herman Ostrow School of Dentistry of USC,"The curricular goals are 
(1) To use student-centered, inquiry-based methods in all aspects of basic, preclinical and clinical science instruction throughout all four years that will encourage students to develop lifelong problem-solving and group learning skills.
(2) To encourage students to question materials presented and to develop a collegial interaction with the faculty—all areas of instruction occur in a professional atmosphere, and there is no activity that demeans students or creates an atmosphere in which student inquiry is repressed.
(3) To vertically integrate the curriculum so that all three sciences and clinical skills are organized to emphasize the direct relevance of basic science learning outcomes to clinical problems.
(4) To develop dental graduates who are dedicated to lifelong, self-motivated learning; accomplished in the methods required to solve problems in a clinical setting; and able to effectively understand and respond to changes in the profession.",Yes
Loma Linda University School of Dentistry,"LLUSD’s program is a traditional dental curriculum with emphasis in clinical training. Graduates are skilled in providing quality dental care that is comprehensive in its scope and preventive in its goals.
• Year 1: Basic sciences with introduction to clinical sciences
• Year 2: Applied sciences and introduction to clinical practice
• Year 3: Clinical sciences with extensive patient contact
• Year 4: Delivery of comprehensive dental care",Yes
"University of California, Los Angeles, School of Dentistry","The goals of the program are to prepare reflective practitioners who
(1) Possess the knowledge and skills necessary to provide patients with comprehensive dental care.
(2) View their role in the profession from a humanitarian perspective.
(3) Are able to provide socially sensitive and responsible leadership in the community.
(4) Continuously update their knowledge, techniques and practices.
The length of the D.D.S. program is 45 months. The curriculum uses lectures, small group discussion, labs, CD-ROMs and web-based resources. Students supplement their educational experience through a variety of electives including teaching apprenticeships, mentored research projects, leadership training and volunteer service at UCLA-sponsored outreach clinics. Early entry into the clinic is a priority. Student dentists, organized in vertical-tier teams, provide comprehensive care to an assigned patient pool, supplemented by rotations to specialty and community clinics.",Yes
"University of California, San Francisco,  School of Dentistry ","The curriculum is designed to organize material into five thematic streams that emphasize and reinforce the integration of basic sciences and clinical sciences in dental education. The dental curriculum prepares students to render evidence-based, high-quality, comprehensive oral care. The curriculum emphasizes thorough understanding of diagnosis, prevention and control of disease; recognition of social needs; and knowledge of general health problems. 
Students are evaluated by examination and clinical competency examinations and by the quality and quantity of procedures completed. Courses are graded Passed/Not Passed/Passed With Honors. In the first years, students experience strong scientific preparation augmented with introductory clinical activities and the fundamentals of dental therapies. During the third and fourth years, clinical experience—providing scientifically based patient-centered care—develops clinicians who graduate as competent dentists, and as men and women of science. Details can be found at http://dentistry.ucsf.edu/students-faculty-staff/students/curriculum.",Yes
"University of the Pacific, Arthur A. Dugoni School of Dentistry ","As suggested by the school’s helix logo, biomedical, preclinical and clinical science subjects are integrated and combined with applied behavioral sciences in a program both to prepare graduates to provide excellent quality dental care to the public and to enter a changing world that will require them to be critical thinkers and lifelong learners.
The 36-month curriculum leading to the degree of Doctor of Dental Surgery begins in July
and is divided into 12 quarters, each consisting of 10 weeks of instruction, one week of
examinations and a vacation period of varying length (between one and four weeks). Students with research interests and ability are encouraged to undertake projects under the guidance of experienced faculty members.
Student progress in the program is evaluated by academic performance committees and carefullymonitored by the Academic Advisory Committees that serve to identify any problems (such asundiagnosed learning disabilities) and recommend tutorial and other support. 
The highest standards are maintained in preparation for National Dental Examining Boards and licensure for practice. Very few students are delayed in their progress toward graduation.",Yes
Western University of Health Sciences College of Dental Medicine ,"The College of Dental Medicine will be a premier center for integrative educational
innovation; basic and translational research; and high-quality, patient-centered,
interprofessional health care, all conducted in a setting that uses advanced technology
and promotes individual dignity and potential for personal and professional growth. The overarching themes of the dental curriculum are:
(1) Critical thinking.
(2) Professionalism.
(3) Communication and interpersonal skills.
(4) Health promotion.
(5) Practice management and informatics.
(6) Patient care.
Teaching methodologies will include small-group interaction, preclinical simulation
laboratory, comprehensive patient-care clinical experience and community-based clinical
care and service.",Yes
University of Colorado School of Dental Medicine ,"The dental curriculum aims to graduate dentists who will be able to 
(1) prevent, diagnose and treat oral disease;
(2) apply biological, physical and social sciences to perform appropriate prevention, diagnosis and treatment;
(3) apply personal and professional skills to practice effectively and relate to patients and colleagues;
(4) recognize professional capabilities and judiciously refer patients for specialty care; and
(5) continue to acquire knowledge through patterns of lifelong study.
Basic science instruction, reinforced by such courses as systemic disease, and oral and organ pathology, occurs in the first and second years. Predoctoral dental students participate in the six-semester clinical curriculum. Early experiences include observing and assisting upperclassmen in patient treatment. Following this first year, students begin to treat patients on a limited basis, performing primarily oral diagnosis and periodontal and operative dental procedures. After accumulating a “family” of patients, students are responsible for their complete care. During the following semesters, students continue to treat patients and rotate through the Oral Surgery, Emergency, Adolescent, Hero’s and Pediatric Clinics.
While continuing to treat patients in the Comprehensive Care Clinic, dental students
participate in the nationally recognized Advanced Clinical Training Service (ACTS) program, a cooperative effort with community-based providers.",Yes
University of Connecticut School of Dental Medicine ,"The curriculum is designed to provide students with a comprehensive educational experience that allows them to master the knowledge and requisite skills associated with the practice of general dentistry. The goals of the program are to help students gain an understanding of human biology and the behavioral sciences, and to develop their competency in all aspects of clinical dentistry. During the first 16 months, dental students follow an integrated course of study in the basic sciences along with their medical student colleagues. The third- and fourthyear clinical program extends for 27 months and emphasizes comprehensive care, prevention and the emerging epidemiologic patterns of dental diseases. Students are evaluated through written and practical examinations in the medical, dental and clinical sciences, and through both observation of students’ development and assessment of clinical competency in patient oral health care delivery. The grading system is on a pass/fail basis.",Yes
Howard University College of Dentistry ,"The primary objective of the curriculum is to educate individuals for the practice of general dentistry. Specific objectives are (1) to provide comprehensive predoctoral dental education such that the dental graduate will be competent in the prevention, diagnosis and treatment of oral diseases and disorders; and (2) to inculcate in our graduates the highest standards of ethical and moral responsibility to the dental profession and to the communities they serve.
The foundation courses in the basic biomedical sciences are taught during the first two years followed by clinical courses and clinical experiences in the next two years. However,
throughout the four years, the basic science and clinical science curriculum are integrated to prepare the students to be outstanding clinicians.
Student research opportunities: Students participate during the summer in our research lab or at other institutions, such as The Johns Hopkins University. They also compete and present scientific research projects nationally.",Yes
Lake Erie College of Osteopathic Medicine School of Dental Medicine ,"LECOM SDM offers the D.M.D. degree through a full-time, four-year pathway. LECOM SDM’s unique, innovative curriculum prepares students for the practice of general dentistry, specifically for underserved communities.
The school’s evidence-based, quality dental education trains students to provide patientcentered care and optimal therapeutic and economic outcomes, to promote disease prevention, and to enhance patient and provider education. The curriculum comprises two years of basic science and preclinical instruction delivered through case-based, small group, Problem-Based-Learning (PBL) sessions, as well as through lectures, laboratories and clinical experiences. Years three and four are primarily hands-on, clinical experiences. PBL courses integrate medical and dental students.
Other unique curriculum components include faculty-directed self-study of gross anatomy; early exposure to dentistry in the first year through direct comprehensive patient care in the first year (fabrication of full maxillary and mandibular removable prosthesis); a patient-based simulation clinic; and the entire fourth year devoted to primary care clinics in underserved areas of Florida and Erie, Pennsylvania. Faculty members assess the professional competencies students gain through the program. These competencies empower students with the knowledge and skills necessary to work effectively in interprofessional, interdisciplinary and multicultural environments.",Yes
Nova Southeastern University College of Dental Medicine ,"The College of Dental Medicine’s mission is to educate and train students to ensure their competency to practice the art and science of the dental profession. This competency requires graduates to be biologically knowledgeable, technically skilled, compassionate and sensitive to the needs of all patients and the community. The college fosters excellence in dental education through innovative teaching, research and community service.",Yes
University of Florida College of Dentistry,"The College of Dentistry has a dynamic competency-based curriculum that applies instructional technology to enhance learning effectiveness in the classroom, preclinical simulation laboratory and clinics. Graduates will be well-prepared to practice competently and manage a dental office.
• Year 1: Foundational biomedical and behavioral sciences, interdisciplinary decision
making, clinical simulations and community service.
• Year 2: Integration of biomedical and behavioral sciences, expanded clinical simulations,
interdisciplinary and evidence-based decision making, introduction to clinics, public
health rotation and community service.
• Year 3: Integration of biomedical and clinical sciences, clinical rotations, team-based
comprehensive patient care and community service.
• Year 4: Team-based comprehensive patient care, community-based rotations, models
of health care, dental-practice management and community service.
• D.M.D-Ph.D. program: Prospective students can apply to the D.M.D-Ph.D. program at
the same time they apply to the D.M.D. program. Students already accepted to the D.M.D.
program can apply for admissions to the D.M.D-Ph.D. program any time at any time up
until the end of semester 7.
• D.M.D-M.P.H. program: Students can apply to this program after gaining admission to the
D.M.D. program.
• Student research opportunities: A summer research program for entering first-year
students in addition to a research track and research honors at graduation.",Yes
Dental College of Georgia at Augusta University,"The Dental College of Georgia awards the D.M.D. degree. The program of study consists of 11 semesters spread over approximately 45 months. Students are enrolled for eight regular semesters (fall and spring) of 15 weeks and for summer semesters of eight, 12, and 12 weeks after the first, second and third years, respectively. Clinical and basic science courses are taught throughout the eight regular semesters, and elementary clinical treatment of patients, including restorative dentistry, begins in the second year. The placement of clinical experiences in the first year shifts some basic science courses to the third year.",Yes
Midwestern University College of Dental Medicine-Illinois ,"The Midwestern University College of Dental Medicine-Illinois provides an integrated, clinically based, interactive learning environment that incorporates the clinical, behavioral and basic sciences. In the fourth year of the program students will spend approximately 10% of their time in community health situations.",Yes
Southern Illinois University School of Dental Medicine ,"The School of Dental Medicine’s curriculum develops the critical thinking and intellectual curiosity necessary for its students to maintain a state of continuous self-improvement. The program is divided into four academic years consisting of biomedical sciences, clinical sciences and behavioral sciences, as well as study and consultation time.",Yes
University of Illinois at Chicago College of Dentistry ,"In 2011, UIC COD faculty changed the Doctor of Dental Surgery to the Doctor of Dental
Medicine (D.M.D.) degree to emphasize oral health’s integral role in general health. 
The faculty then implemented a new curriculum replacing lectures with faculty-facilitated small learning groups focused on patient health care scenarios. This new curriculum is one of only two patient-case-based dental education programs in the United States. 
The UIC COD curriculum, supported by innovative information technologies, provides an interdisciplinary, collaborative learning environment in which students achieve the competencies for oral health care in the context of patient management for the 21st century. The curriculum features small-group and independent learning, combined with experiential laboratory activities in biomedical, clinical and behavioral sciences, and extensive time in community clinical experiences. Biomedical, clinical and behavioral education all span the entire four years of the curriculum, from the first week of the D1 year until graduation. 
The college prides itself on its student and faculty culture of collegiality, intellectual rigor, high standards of competence and ethical behavior, commitment to improve access to care, and service to diverse communities.
Research opportunities, including D1 summer research programs, are available throughout students’ dental education.",Yes
Indiana University School of Dentistry ,"The Indiana Model of Dental Education offers a dynamic blend of contemporary and traditional learning environments designed and continually refined to maximize and promote the principles of student centeredness, critical thinking, problem solving, evidence-based decision-making, competency-based clinical care and lifelong learning.",Yes
The University of Iowa College of Dentistry & Dental Clinics ,"The University of Iowa College of Dentistry is committed to providing a high-quality dental education to aspiring dentists to help them meet the health needs of a large and diverse population.
• Year 1: Basic sciences, laboratory and technique courses, and an introduction to clinical experiences.
• Year 2: Continuation of basic sciences and technical courses, plus definitive clinical patient treatment.
• Year 3: Rotation through a series of clerkships in all of the clinical disciplines.
• Year 4: Delivery of comprehensive dental care under conditions approximating those in private practice; seniors’ participation in extramural programs in locations primarily throughout the Midwest.",Yes
University of Kentucky College of Dentistry ,"UKCD’s program integrates basic science, preclinical lab, technique, clinical and related courses throughout the curriculum. Basic science courses begin at enrollment. Clinical course time and patient contact start early in the first year and expand as the basic science and preclinical curriculum decreases. The dental curriculum comprises four primary study areas: basic sciences, behavioral sciences, preclinical dentistry and clinical dentistry. The basic sciences, such as anatomy, biochemistry and pharmacology, along with the didactic portion of the preclinical courses, are taught mainly by lecture, seminar, some self-instruction or any combination of these. The technical skills of the preclinical subjects, such as restorations, denture construction and periodontal therapy, are taught in laboratory and clinical settings.
UKCD offers incoming students the option to apply to participate in an intensive research experience in conjunction with their dental curriculum. Often, Research Track students will look to pursue academic careers. Research Track students option will gain valuable experience in research, take part in meaningful studies, and receive scholarship funds to help offset UKCD tuition fees each year they participate in the program and fully meet its requirements. An application for this option is included in acceptance materials.",Yes
University of Louisville School of Dentistry ,"The evidence-based curriculum is designed to develop competent practitioners, some of who may seek advanced or specialty training. The first two years focus on basic science and preclinical instruction. The following two years emphasize patient care augmented by further education in all clinical disciplines, as well as strengthening professional values. The treatment of patients occurs in the group-based comprehensive general practice clinic, specialty clinics and extramural rotations providing the student with experience in treating a diverse population of patients in a variety of settings. Extramural experiences may also include delivering oral health care through agencies such as the U.S. Public Health Service and the Indian Health Service. Elective courses permit the student to pursue more in-depth knowledge in different aspects of the profession.",Yes
Louisiana State University Health New Orleans School of Dentistry ,"LSUSD follows a vertical curriculum providing a blend of basic, clinical and behavioral sciences and practice management. This approach allows early introduction to clinical experience and integration of basic science material into the clinical curriculum.
• Year 1: Basic sciences, preclinical technical courses and behavioral science with clinical experience in oral diagnostics.
• Year 2: Continuation of basic sciences and preclinical technical courses with clinical patient treatment in operative dentistry, oral diagnosis and periodontics.
• Year 3: Clinical didactic courses and clinical patient treatment in a comprehensive care format, which includes operative dentistry, fixed and removable prosthodontics, pediatric dentistry, periodontics, oral and maxillofacial surgery, orthodontics, oral diagnosis and endodontics.
• Year 4: Total comprehensive patient care in general dentistry; elective courses available
in many departments.","Yes
(optional)"
University of New England College of Dental Medicine ,"Along with early and extensive clinical experiences, the program uses lectures, small group sessions, online courses and self-directed learning to deliver curriculum grounded in the biomedical and behavioral sciences. The program, which emphasizes the linkages between basic, behavioral and clinical sciences and the clinical practice of dentistry (including principles of community and public health), provides extensive clinical education in UNE’s main dental clinic and in community-based clinics and practices.
Beginning clinical experiences in the state-of-the-art simulation clinic by treating simulated patients with electronic records and digital images, students learn to evaluate health histories and develop and implement comprehensive treatment plans. Students also work in  teams to learn and practice hands-on diagnosis and assessment skills on each other. Faculty-led group practices include student associates from each of the program’s four years.
During the program, students
(1) begin to provide care to clinical patients in the latter part of the second year;
(2) further develop their clinical knowledge and skills through the third year in the campus teaching clinic; and
(3) spend the majority of time in the fourth year providing oral health care in community-based clinics and practices throughout northern New England.",Yes
University of Maryland School of Dentistry,"The D.D.S. program combines a strong base of biological sciences and an outstanding clinical education, with a focus on application of latest research findings. Nationally recognized faculty provide excellent educational services for students in a collegial and supportive setting. Students have the opportunity to utilize innovative educational methodologies, including online learning activities.
 
The outstanding clinical education program, featuring patient-centered and student-centered general practices, simulates the structure of a dental practice. Various cooperative efforts with local, state and federal agencies also provide dental services for special-needs populations. Additionally, faculty and students provide comprehensive dental care to underserved populations in the surrounding areas of Maryland. Students also engage in many service learning experiences under the supervision of faculty. 
Dental graduates are well prepared to enter advanced dental education programs and to practice their professions in a wide range of private practice, public service and academic settings.",Yes
Boston University Henry M. Goldman School of Dental Medicine,"Year one includes foundational biomedical science courses and an introduction to general dentistry. Preclinical courses introduce terminology, specialties, preventive dentistry, oral
radiology and dental assisting techniques. Students experience patient-centered activities through chairside assisting and service learning. The year continues with preclinical
simulations and new laboratory techniques for state-of-the-art care and culminates with APEX, a dental practice internship.
Year two emphasizes integration of biomedical and behavioral sciences with clinical sciences. Laboratory simulations develop skills for patient care in operative dentistry, fixed prosthodontics, removable prosthodontics, pediatric dentistry, endodontics and occlusion. A problem-based learning course addresses the business of dental practice and the psychology and ethics of patient care.
Year three combines coursework with direct patient care in a Group Practice team. Faculty mentors support and guide students in their development as clinical care providers. As their technical, communication and patient management skills develop, students are assigned patients who have increasingly challenging needs.
Fourth-year students work to attain excellence in clinical patient care, achieving clinical competency through continued care of patients. Students have flexibility to pursue interests such as research, elective externships (national and international) and community service. A capstone ten-week externship fosters students’ development into independent clinical practitioners.",Yes
Harvard School of Dental Medicine,"The philosophy of education at HSDM is that dentistry is a specialty of medicine. In keeping with this belief, medical and dental students study together at Harvard Medical School during their first year. The Pathways curriculum incorporates new pedagogy utilizing educational methodology that fosters independent learning, critical thinking and lifelong learning skills important to health care professionals.
Dental instruction occurs in treatment teams that use a comprehensive, patient-centered approach to care. Both didactic and clinical courses are taught using the Case-Based Collaborative Learning method of study. In this approach, cases based on actual clinical records or investigative problems are used to set the learning objectives. Students also take courses in research and complete a research project.
Clinical exposure begins in the first year. The inclusion of a first-year primary care medical rotation as part of the introduction to clinical dentistry helps fulfill the school’s vision of transforming dentistry by removing the distinction between oral and systemic health.",Yes
Tufts University School of Dental Medicine,"TUSDM’s primary goal is to develop dental practitioners who are able to utilize their knowledge of the basic principles of human biology and human behavior in conjunction with their technical skills in diagnosing, treating and preventing oral disease. The D.M.D. program, which extends over a four-year period, consists of mind and body wellness, a series of didactic, laboratory and clinical experiences, approaching didactic information by integration through knowledge of human body systems, resulting in the logical development of concepts and skills. Upon completion of the curriculum, the graduate will be emotionally, intellectually and technically prepared to practice the profession of dentistry as it exists today, to adapt to future changes and to initiate and contribute to those changes, all of which will enhance the delivery of dental care.
For more information regarding our curriculum, please visit http://dental.tufts.edu/.",Yes
University of Detroit Mercy School of Dentistry,"The majority of biomedical, behavioral and preclinical sciences are concentrated in the first two years. The freshman curriculum is divided between biomedical and dental sciences, while the sophomore year is devoted primarily to dental sciences taught in a simulation environment.
Limited patient care experiences occur in the first and second years. More than 75% of the curricular time during the third and fourth years is devoted to clinical practice. Patient careexperiences are based on an evidence-based, comprehensive care model using the expertise of generalists and specialists. Individual students are assigned a patient family and are responsible for addressing all the patient’s dental needs.
Outreach clinical rotations occurring during the fourth year expose the students to alternative practice settings in a community-based environment. Ethics, patient management and current issues are addressed throughout the curriculum.",Yes
University of Michigan School of Dentistry,"The general objectives of dental education are to 
(1) Provide opportunities within a stimulating academic environment for students to develop an appreciation for and understanding of philosophical, social and intellectual problems.
(2) Strongly orient the student to study the physical and biological sciences on which the practice of contemporary dentistry is based.
(3) Offer opportunities and experiences enabling the student to develop the essential clinical skills and critical thinking needed to provide the highest quality oral health service to patients.
(4) Foster the student’s appreciation for the value, design and methodology of dental research.
(5) Ensure the graduating student is able to make decisions affecting the practice of dentistry based on ethical principles and as prescribed by law.
(6) Encourage students to consider career possibilities in dental research, dental education, dental leadership and alternative health care delivery pathways, including dental public health.
(7) Develop the potential of the dental graduate to adapt and to thrive in a diverse and dynamic practice environment.",Yes
University of Minnesota School of Dentistry,"U of M SOD has a strong reputation for educating fine clinicians and diagnosticians through a curriculum that involves progressive introduction to clinical training, integration of basic and applied clinical skills, and group and problem-based learning situations.
The D.D.S. program emphasizes the scientific, scholarly, interpersonal-communication and practice-management skills required of graduates in a continually changing profession. During the students’ final year, U of M SOD offers experiences in outreach clinical practicesites and a comprehensive-care clinic setting within the school. 
The school also encourages students to take elective courses in dental and other disciplines to enhance their clinical, didactic and research knowledge base. The goal of the dental curriculum is to educate dental professionals whose scholarly capabilities, scientific acumen, cultural competency and interpersonal skills are commensurate with their clinical mastery.This goal will provide graduates with the flexibility to adapt to continuing changes in healthcare and to developments in the practice of dentistry.",Yes
University of Mississippi Medical Center School of dentistry,"The major emphasis of the dental curriculum is to train practitioners of general dentistry to provide total health care. This training is accomplished by employing a systems approach to a problem-oriented curriculum. Clinical experience begins in the second year, and a team approach to patient care is used on a limited basis through all four years. A team comprises one student from each class. Basic science and clinical science courses are integrated. Off-campus clinical experiences begin in the first year with a one-week community project somewhere in the state. These continue throughout the four years. All clinical faculty are evaluated yearly by the third and fourth year students, and all courses are evaluated on a four-year cycle. Student learning laboratories, including a patient-simulation suite, are utilized by all classes.",Yes
A.T. Still University Missouri School of Dentistry & Oral Health,"The curriculum at MOSDOH is designed to produce graduates who are technologically adept,professionally competent, patient-centered and compassionate. The curriculum emphasizes patient care experiences through simulation, integration of biomedical and clinical sciences and problem-solving scenarios to achieve clinical excellence. The curriculum includes a strong component of public health, leadership and practice through weekly learning modules.",Yes
"University of Missouri - Kansas City, School of Dentistry","The curriculum (eight semesters and two summer terms) offers an education leading to an effective and enriching career of public service, professional growth and contribution. The program provides a sound background in the biomedical, behavioral and clinical sciences with an emphasis on comprehensive oral health care delivered through a generalist-based team system of clinical education. The curriculum also places an emphasis on practice management, with comprehensive practice management coursework built into all four years of the curriculum. The curriculum also includes an educational experience in the UMKC Innovation Clinic. The early exposure to clinical dentistry and the multidisciplinary, integrated preclinical curriculum is a hallmark of the program.
Degrees offered: Dental degree—D.D.S. Additional degrees: B.S. in Dental Hygiene; M.S. in Dental Hygiene Education; M.S. in Oral Biology; interdisciplinary Ph.D. program; graduate professional certificates in advanced dental education in general dentistry, oral and maxillofacial surgery, orthodontics and dentofacial orthopedics, pediatric dentistry,periodontics, and endodontics; and a variety of continuing education courses.",Yes
Creighton University School of Dentistry,"The four-year program is designed to provide maximum opportunity for clinical application of basic concepts. Essentially, the curriculum is a progression of experiences from basic and preclinical sciences to mastery of clinical skills. Basic sciences are cooperatively taught by both dental and medical school faculty under the aegis of the Department of Oral Biology. Clinical sciences are taught by full-time clinical faculty with the assistance of part-time faculty.The full-time faculty, representing both basic and clinical science disciplines by training and experience, ensure integration of basic and clinical sciences. The part-time faculty bring extensive and varied experience, based on their own private practices, to add another dimension to the program and to reinforce the concepts being taught.",Yes
University of Nebraska Medical Center College of Dentistry,"The dental program is 44.5 months in duration with 36.5 months in actual attendance. There are eight semesters of 16 weeks each. In addition, attendance is required at three summer sessions (eight weeks each), one between each academic year until graduation. Objectives of the UNMC COD are to
(1) Select applicants who have the personal and moral qualifications, technical potential and scholastic ability for a professional career in dentistry.
(2) Provide, within a flexible curriculum, a solid foundation of fundamental scientific knowledge and the basic technical skills necessary for using this education.
(3) Motivate students to recognize and fulfill their social and moral responsibilities to their patients, their civic responsibility to the community and their ethical obligation to the profession of dentistry.
(4) Inspire students to see the need for continuing education and for personal and professional evaluation throughout their dental careers.",Yes
"University of Nevada, Las Vegas, School of Dental Medicine","The UNLV SDM is a driving force toward improving the health of the citizens of Nevada through unique programs of oral health care services to the community. A highly integrated and timed approach toward discovery in the biomedical, professional and clinical sciences encourages a continuous learning professional. Patient-centered clinical care, patient education and community outreach reinforces the horizontally and vertically integrated curriculum. Scholarship provides an environment to produce collaborative research and scholarly activities. With faculty cultivated toward excellence, professionalism and the medical model of total patient care, the school’s mission is a constant goal: Toward perfect health through oral health.",Yes
"Rutgers, The State University of New Jersey, School of Dental Medicine","RSDM is a publicly supported institution. Its mission is to promote professional standards of excellence among its students, faculty and staff, in an inclusive and diverse environment while meeting the health needs of New Jersey citizens through the coordination of education, research and service. The goal of the dental curriculum is to prepare competent general practitioners, who are able to manage the oral health care of the public. The curriculum also provides a foundation for graduates who seek advanced training in the dental specialties, biomedical research and/or dental education. To accomplish our mission, graduates must understand the interrelationship of the biological, physical, clinical and behavioral sciences to effectively practice three overlapping areas of professional responsibility: (1) comprehensive patient care, (2) participation in community dental health programs and (3) continuation of professional development.",Yes
Columbia University College of Dental Medicine,"In harmony with the Columbia CDM goal to support excellence in opportunities, innovation, methods, evaluation and quality of its educational programs, the curriculum is designed to prepare graduates who, in addition to becoming competent general dentists capable of independent practice, are prepared to function as integral members of the health care team. CDM provides an academic environment that encourages students to take advantage of the opportunities that the University offers in such diverse areas as public health, business, pedagogy and biomedical research, thereby enriching their education.
The CDM curriculum includes a strong foundation in the biomedical sciences, as well as an emphasis on the knowledge and skills of the various dental disciplines and the social, economic and cultural aspects of individuals, communities and populations. The College provides its students with a rich and diverse clinical education experience, in part, through a commitment to improving the oral health of citizens in New York City, as well as targeted populations on a global level.",Yes
New York University College of Dentistry,"NYUCD’s educational philosophy is based on the conviction that real life is not the rote repetition of information; rather, it is the application of knowledge to solve problems associated with disease. Thus, NYUCD has initiated a hands-on approach early in the learning process in combination with a rigorous program requiring critical thinking and problem-solving.
 NYUCD’s four-year curriculum is fully integrated and does not teach along traditional departmental structure. The biomedical sciences are taught in three segments over the first three years. The clinical sciences emphasize general dentistry and are fully integrated. Education is broad in scope, yet focused and applied to real-world problems and issues. Patient contact begins in the first year with a rotation in pediatric dentistry. Students earn patient care privileges through achievement.",Yes
Stony Brook University School of Dental Medicine,"Stony Brook University School of Dental Medicine predoctoral curriculum provides a comprehensive learning model, which includes an integrated biomedical education, early entry to clinical patient care, research opportunities and community service learning. Education in the basic, behavioral and clinical sciences emphasizes development of critical thinking skills leading to excellence in the practice of dentistry. Predoctoral dental students are integrated with medical school colleagues in the basic science curriculum of year 1. In addition, preclinical training begins in year 1, leading to early patient care delivery at the end of that year followed by extensive, patient-centered experiences in years 2, 3 and 4. Students engage in local, regional and global community outreach programs (e.g., through the U.S. Indian Health Service, and in Chile, Madagascar and Jamaica). Research experience is encouraged and provided as early as the summer prior to matriculation.",Yes
Touro College of Dental Medicine at New York Medical College,"Across its curriculum, TCDM emphasizes the important link connecting basic, behavioral and clinical dental sciences. Although implemented at a new school, the rigorous basic science and behavioral science curricula will taught by distinguished faculty who teach the corresponding coursework at NYMC. These faculty members are seasoned teaching professionals known for  their commitment to helping each student maximize his or her potential.
The teamwork concepts learned in the preclinical simulation lab will be integrated into clinical training. The clinic is designed to be a working replica of an everyday dental practice, with the students making decisions and performing the type of procedures they will be doing in their future clinical practices. In the past 15 years, dentistry has seen tremendous change in the available technologies and techniques. The clinical curriculum at TCDM will employ these advancements to help our students focus on the knowledge, skills and values necessary to provide culturally competent, comprehensive, patient-centered care.
The TCDM program will also provide students with extensive opportunities to experience multiple clinical practice scenarios using our extensive and diverse network of affiliated hospitals and community clinics.",Yes
University at Buffalo School of Dental Medicine,"The D.D.S. program provides students with the basic science training, clinical expertise and analytical skills necessary to attain the highest level of proficiency as practitioners. Our graduates practice across the country, in many different settings, in all areas of dental medicine as general practitioners and specialists in private practice, dental researchers, health care administrators, faculty in dental schools and managers in the private sector.",Yes
East Carolina University School of Dental Medicine,"The goal of the curriculum is to interlace problem-solving into all aspects of didactic and clinical experiences. Every basic science and preclinical course has a seminar component that will involve group collaboration on increasingly difficult cases and topical problems intended to make problem assessment, solution research and self-reflection equal components of knowledge acquisition. This philosophy continues throughout the four years of clinical training. Unique to ECU SoDM are the clinical experiences in the Community Service Learning Centers, located in rural and underserved communities across North Carolina. Utilizing the best practices in health science informatics, the curriculum is designed to provide the highest level of educational experiences in a collaborative and challenging environment. The students are required to play an active role in their success as young professionals.",Yes
